,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"Relevant: The article discusses the inadequacy of the personal exemption in covering the cost of living, highlighting a potential contributor to economic inequality. 
",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"Relevant: The article discusses budget deficits, spending cuts on social welfare programs, and potential tax increases, all of which are factors that can contribute to or exacerbate economic inequality. 
",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Relevant: The article discusses income distribution, noting that while many Americans will experience economic benefits, ""the destitute still will be wandering the country's streets"" and ""large pockets of poverty will continue to dot urban ghettos"". 


",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"Irrelevant; the article focuses on political discourse and blame surrounding the Oklahoma City bombing, not economic issues. 
",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"Irrelevant; the article focuses on a humorous personal anecdote about dealing with the IRS and tax forms, not broader economic issues. 
",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"Irrelevant; the article focuses on political hacking and activism surrounding the Republican National Convention, not economic issues. 
",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Relevant: The article discusses Soros's prediction of social unrest and riots in America due to economic inequality and frustration with the cost of rescuing the banking system. 
",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"Irrelevant; the article focuses on career advice for public service jobs and doesn't discuss income inequality or economic conditions. 
",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"Irrelevant; the article focuses on racial tensions and immigration issues in Spain, not American economic inequality. 
",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"Irrelevant; the article focuses on political maneuvering and public opinion regarding the impending war with Iraq and its potential impact on the midterm elections. 
",0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"Irrelevant; the article focuses on a civil rights protest for deaf representation at Gallaudet University, not economic issues. 
",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Relevant: The article discusses tax increases as a potential solution to the deficit, which is directly related to income inequality and wealth distribution. 
",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Relevant: The article discusses job displacement due to technology, which is a contributing factor to income inequality. 
",1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Relevant: The article discusses a deficit reduction plan that includes tax increases and spending cuts, which directly impact income distribution and economic inequality. 
",1
14,10 Questions for Andrew Stern,2005,Aug,Time,5,6.67,irrelevant,15,"Relevant: The article discusses labor unions' strategies for addressing job losses due to globalization and criticizes the idea that wealth will trickle down from the rich, highlighting concerns about income inequality. 
",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"Irrelevant; the article focuses on a political interview with William F. Buckley Jr. and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions. 
",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Relevant: The article discusses unemployment rates across different sectors and demographics, highlighting disparities that contribute to economic inequality. 
",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"Irrelevant; the article focuses on historical revolutions in Europe and their parallels with current events in North Africa and the Middle East, not American economic inequality. 
",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Relevant: The article discusses tax cuts for businesses and individuals, which are policies directly related to income distribution and economic inequality. 
",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"Irrelevant; the article is a collection of quotes and anecdotes from 1983 and does not discuss economic issues. 
",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"Relevant: The article mentions a lottery winner who gave away his entire winnings because he didn't need more money than his current earnings, highlighting potential disparities in wealth and financial security. 


",1
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Relevant: The article discusses proposed tax cuts and changes that would disproportionately benefit different income groups, a key factor in economic inequality. 
",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"Please provide me with the article so I can determine its relevance to American economic inequality. 
",0
