,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,,5,6.67,irrelevant,,"relevant, because the article discusses issues of income inequality and changes in income, specifically focusing on the inadequacy of the personal exemption amount in the federal income-tax return.",1
1,$100 Billion Deficit Is Too Much,1982,Feb,,3,10.0,relchanges (income/wages/earnings/etc.),,"relevant, because the article discusses changes in income and general economic conditions, specifically focusing on budget deficits, inflation, and interest rates.",1
2,'85 outlook: year of change,1984,Dec,,1,6.67,"relinequality, explicit",,"relevant, because the article discusses changes in the economy, general economic conditions, and issues of income inequality.",1
3,'Blame the bombers--only',1995,May,,5,6.67,irrelevant,,"irrelevant. the article primarily discusses a political debate and the views of a talk-show host on a specific criminal event, without addressing broader economic conditions, changes in income or wealth, or issues of income inequality.",0
4,'Dear IRS . . . ',1991,Apr,,5,6.67,irrelevant,,"irrelevant. the article is a personal account of dealing with the irs and does not discuss broader economic conditions, income inequality, or changes in wealth.",0
5,'Hacktivists' Log On,2004,Aug,,5,6.67,irrelevant,,"irrelevant, because the article focuses on political activism and hacking, not on income inequality, changes in income or wealth, or general economic conditions.",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,,1,6.67,"relinequality, explicit",,"relevant. the article discusses the economic perspectives and actions of billionaire george soros, which reflects on broader economic conditions and changes in wealth.",1
7,'Mission Critical' Skills and Majors,2010,Nov,,3,6.67,relchanges (income/wages/earnings/etc.),,"irrelevant. the article focuses on career advice and choosing college majors, without discussing income inequality, changes in wealth, or general economic conditions.",0
8,'Moors out of here',2000,Feb,,5,6.67,irrelevant,,"relevant, because the article discusses changes in spain's economy and labor force due to immigration, which is related to income and wealth issues.",1
9,'Take a deep breath',2002,Oct,,5,6.67,irrelevant,,"irrelevant. the article primarily discusses political debates and specific politicians without focusing on income inequality, changes in wealth, or general economic conditions.",0
10,'This is the Selma of the deaf',1988,Mar,,5,6.67,irrelevant,,"irrelevant, because the article focuses on civil rights and education for the deaf, not on income inequality, changes in income or wealth, or general economic conditions.",0
