,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"no, the article does not reference american economic inequality, but it discusses the national budget, deficit, and potential economic impacts.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"yes, the article does reference american economic inequality as it discusses the economic conditions of different groups such as the destitute, urban ghettos, and farmers, and the potential impact of policy changes on these groups.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"yes, the article does reference american economic inequality as it discusses the potential for social and economic divisions in the u.s. to deepen, and it mentions the occupy movement, which is largely focused on issues of income and wealth inequality.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"no, the article does not reference american economic inequality as it primarily discusses the relevance of different college majors for public sector jobs.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"yes, the article discusses potential tax increases and economic policies, which are related to income and wealth changes.",1
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"yes, the article does reference american economic inequality as it discusses the potential for increased polarization between high-tech, finance, and top management executives and midlevel jobs due to changes in technology and the workforce.",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"yes, the article discusses potential changes in income through the proposed tax increases and cuts in government services, which could impact economic inequality.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"yes, this article references american economic inequality by discussing the differences in unemployment rates among various sectors and regions, and the impact of these rates on the overall economy.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"no, the article does not reference american economic inequality, but discusses tax cuts and their potential impact on the economy and businesses.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"yes, the article discusses changes in income and wealth through the lens of tax policy, specifically how different tax cuts or increases could affect different income brackets.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"no, the article does not reference american economic inequality as it primarily focuses on career guidance and job market outlooks.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"no, the article does not reference american economic inequality, but it discusses the economic conditions related to retirement and the benefits of continuing to work.",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"yes, the article discusses economic inequality by highlighting the impact of federal budget cuts on various social services and infrastructure projects in milwaukee, which could exacerbate conditions for the city's poor and working-class residents.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"no, the article does not reference american economic inequality, it discusses tax cuts and their potential effects on the economy and political landscape.",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"no, the article does not reference american economic inequality, but it discusses the general economic conditions and changes in wealth and income.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"no, the article does not reference american economic inequality, but it discusses the political debate around tax policy and its potential implications on the economy.",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"no, this article does not reference american economic inequality, it discusses a proposed constitutional amendment to balance the federal budget.",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"yes, the article discusses economic inequality by highlighting the special tax breaks given to certain industries and companies, which could contribute to wealth disparities.",1
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"yes, the article discusses economic inequality by highlighting the excessive compensation and perks received by ceos, which is significantly higher than the average worker's income.",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"no, the article does not reference american economic inequality; it discusses the budget deficit and potential tax increases, but does not specifically address income or wealth disparities.",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"no, the article does not reference american economic inequality, but it discusses changes in tax laws and their potential impact on the economy and investment behavior.",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"no, the article does not reference american economic inequality, but rather discusses an individual's personal journey to wealth through unconventional saving techniques and smart investments.",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"yes, the article references american economic inequality by discussing the enforcement of tax laws on wealthy yacht owners and the implementation of programs to help welfare recipients find employment.",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"no, the article does not reference american economic inequality, but it discusses the potential impact of economic conditions on political outcomes.",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"no, the article does not reference american economic inequality, but it discusses tax legislation and political dynamics surrounding it.",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"no, the article does not reference american economic inequality as it primarily discusses the impact of new osha regulations on businesses, not income or wealth disparities.",0
26,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"no, the article does not reference american economic inequality as it primarily discusses the resilience of american society in the face of various crises and challenges.",0
27,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"yes, the article references american economic inequality by discussing the issue of a hollowed-out middle class and the need for innovation to combat unemployment and improve the country's economic standing.",1
28,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"no, this article does not reference american economic inequality as it primarily discusses political figures and their roles, without addressing income or wealth disparities.",0
29,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"no, the article does not reference american economic inequality, but rather discusses the state of the financial economy, specifically focusing on the subprime mortgage crisis and its potential impacts.",0
30,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"yes, the article discusses american economic inequality by highlighting the disparity in social security benefits and the impact of income inequality on the program's long-term financing.",1
31,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"no, the article does not reference american economic inequality, but it discusses a proposed gas tax increase and its potential impact on consumers.",0
32,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"yes, the article discusses economic inequality by comparing the economic policies of different political candidates, which could potentially affect income distribution and wealth in the u.s.",1
33,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"yes, the article discusses economic inequality by highlighting the financial struggles and retirement prospects of average american workers in comparison to their spending habits and expectations.",1
34,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,"no, the article does not reference american economic inequality, but rather discusses the state of the american economy, its recovery, and factors contributing to its growth.",0
35,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,"yes, the article references american economic inequality by discussing the impact of a tax cut on different income groups and how the proposed cap on tax-cut benefits could disproportionately affect middle-income households.",1
36,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,"yes, the article discusses changes in tax policies that could affect the distribution of wealth among different income groups, which is related to economic inequality.",1
37,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,"yes, the article discusses economic inequality in the context of ross perot's deficit plan, which includes measures such as tax increases and spending cuts that would impact different income groups in various ways.",1
38,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,"no, the article does not reference american economic inequality, it discusses the economic philosophy of the bush administration and their strategies for economic growth.",0
39,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,"yes, this article references american economic inequality as it discusses the varying rates of unemployment across different cities in the united states.",1
40,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,"no, the article does not reference american economic inequality, but it discusses the general economic conditions and potential for a ""double dip"" recession.",0
41,A double-edged summer surprise,1992,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),75,"no, the article does not reference american economic inequality, but it discusses the general economic conditions and changes in income due to various factors such as layoffs, government spending, and financial flows.",0
42,A fair question,2000,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",76,"yes, the article discusses changes in income and wealth through the lens of different tax policies proposed by al gore and george w. bush, and how these policies could affect income distribution and economic inequality.",1
43,A gaggle of New Year's guesses,1987,Dec,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",78,"yes, the article references american economic conditions and changes in income or wealth, particularly in relation to predictions about the economy and wall street.",1
44,A kind word for taxes,1986,Jul,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),80,"no, the article does not reference american economic inequality, but it discusses the importance of taxes in maintaining societal services and infrastructure.",0
45,A leap of faith--into the abyss perhaps?,2001,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),81,"yes, the article discusses changes in income due to tax cuts and how they may disproportionately affect different income groups, which is related to income inequality.",1
46,A message to conservatives,1983,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",82,"no, the article does not reference american economic inequality as it primarily discusses political dynamics and the reagan administration's policies without focusing on income or wealth disparities.",0
47,A most debated issue,1985,Jul,Time,1,6.67,"relinequality, explicit",83,"yes, the article discusses the impact of illegal immigration on wages and job availability, which are factors contributing to economic inequality.",1
48,A nation divided,1999,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",84,"yes, the article discusses american economic inequality by highlighting the growing wealth gap between the rich and the poor, the uneven distribution of prosperity, and the concentration of wealth among the top 20 percent of americans.",1
49,A new divide between haves and have-nots?,1995,Spring,Time,1,6.67,"relinequality, explicit",86,"yes, the article discusses the economic inequality in america, highlighting the disparity in access to technology and information between the rich and the poor, and how this affects their income and job opportunities.",1
50,A new-style recession,2002,Apr,U.S. News & World Report v. 132 no. 12 (April 15 2002) p. 30-2,1,6.67,"relinequality, explicit",87,"yes, the article does reference american economic inequality, as it discusses the different impacts of the recession on various income groups, including the super wealthy and low- and middle-income households.",1
51,A paycheck revolt in '96?,1996,Feb,Newsweek,1,1.0,"relinequality, explicit",89,"yes, the article discusses american economic inequality by highlighting the disparity in earnings between different educational and income groups, the widening gap between the rich and the poor, and the changes in real family incomes and wealth distribution.",1
52,A plumper nest egg,2002,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),90,"no, the article does not reference american economic inequality as it primarily discusses changes in irs retirement savings programs and tax incentives.",0
53,A question of confidence,2001,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),92,"no, the article does not reference american economic inequality, but rather discusses the general economic conditions and potential for a recession.",0
54,A radical plan for tax reform,1986,May,Newsweek,1,6.67,"relinequality, explicit",93,"yes, the article discusses a proposed tax reform plan that would significantly alter income distribution in the united states, impacting economic inequality.",1
55,A swampful of troubles,1983,Apr,U.S. News & World Report,2,6.67,"relinequality, implicit",98,"no, the article does not reference american economic inequality as it primarily discusses president reagan's political challenges and foreign policy issues.",0
56,A tale of two Austins,2000,Feb,U.S. News & World Report,1,1.0,"relinequality, explicit",99,"yes, the article discusses the economic inequality in austin, texas, highlighting the wealth gap between the high-tech elites and the working and middle class who are being economically squeezed due to rising rents and real estate prices.",1
57,A taxing change,2000,Jul,Time,1,6.67,"relinequality, explicit",100,"yes, the article discusses changes in wealth and income through the lens of potential changes to estate and capital gains taxes, which could impact economic inequality.",1
58,A time to celebrate,2000,Jul,U.S. News & World Report,1,6.67,"relinequality, explicit",101,"yes, the article does reference american economic inequality, discussing the differences in wealth and the concept of the american dream, which is tied to economic mobility and opportunity.",1
59,AMERICA THE ANXIOUS.,2012,Aug,Newsweek,1,6.67,"relinequality, explicit",105,"yes, the article discusses issues of income inequality, changes in income, and general economic conditions in america, highlighting the struggles of different social classes and the impact of government policies.",1
60,Abolish the IRS? Dream on,1997,Oct,Newsweek,1,6.67,"relinequality, explicit",106,"yes, the article discusses economic inequality by examining the potential impacts of different tax reforms on various income groups, including the wealthy and the poor.",1
61,Adventures in equities/World of Business,1992,Feb,Time,4,10.0,"releconomy (employment, economy)",108,"no, the article does not reference american economic inequality as it primarily discusses global equity markets and investment strategies.",0
62,Affirmative Inaction?,1995,Jun,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),109,"yes, the article references american economic inequality by discussing the potential impacts of changes to affirmative action on different racial groups.",1
63,After You! We Insist!,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),111,"yes, the article discusses potential changes in income through the implementation of new taxes and the impact on the federal deficit, which are related to general economic conditions.",1
64,After the Plant Closed Down,2009,May,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),112,"yes, the article references american economic inequality by discussing the drastic drop in the family's income after the closure of the cement factory, which led to a significant decrease in their standard of living.",1
65,After the meltdown of '87,1987,Nov,Newsweek,2,6.67,"relinequality, implicit",113,"no, the article does not reference american economic inequality as it primarily focuses on the stock market crash of 1987 and its aftermath, without discussing income or wealth disparities.",0
66,After the storm passes,1999,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),114,"no, the article does not reference american economic inequality, but it discusses the impact of trade policies on global economic conditions and the potential effects on workers in various countries.",0
67,America the open,1995,Jul,Newsweek,1,1.0,"relinequality, explicit",119,"yes, the article discusses the concept of meritocracy in america, which inherently involves issues of income and wealth distribution, as well as economic conditions.",1
68,America's Bull Run: Can We Keep It Going?,2008,Jan,U.S. News & World Report,1,6.67,"relinequality, explicit",120,"yes, the article does reference american economic inequality, as it discusses concerns about growing economic inequality and suggests that a bigger economy could provide more resources for education and worker training.",1
69,America's Dumbest Budget Cut.,2011,Jul,Newsweek,4,6.67,"releconomy (employment, economy)",121,"no, the article does not reference american economic inequality, but it discusses the impact of military spending on the national budget.",0
70,America's Next Stimulus Plan,2009,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",122,"no, the article does not reference american economic inequality, but it discusses the general economic conditions and potential changes in income due to proposed economic policies.",0
71,America's scandalous health care: here's how to fix it,1990,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",123,"yes, the article discusses economic inequality in the context of the american healthcare system, highlighting the financial struggles of different groups to afford healthcare and the economic burden of healthcare costs on businesses and individuals.",1
72,America--at ease with computers,1986,Feb,U.S. News & World Report v. 100 (February 17 1986) p. 72,4,6.67,"releconomy (employment, economy)",124,"no, the article does not reference american economic inequality, it discusses the adoption and perception of technology in different countries.",0
73,Americans Bet on International Funds,1985,Aug,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),125,"no, the article does not reference american economic inequality as it primarily discusses investment in international funds and the impact of currency value changes on these investments.",0
74,An Economic Feud at the White House,1983,Oct,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),129,"no, the article does not reference american economic inequality, but discusses a dispute over economic policy within the reagan administration.",0
75,An Election-Year Tax Increase?,1982,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),130,"no, the article does not reference american economic inequality, but it discusses potential changes in tax policy and its impact on different sectors and interest groups.",0
76,An Implausible Populist.,2011,Oct,Time,2,6.67,"relinequality, implicit",132,"yes, the article discusses issues of income inequality and changes in wealth, specifically in relation to wall street reforms and the impact of these reforms on the economy.",1
77,An Oil Tax Makes Sense,1987,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),133,"no, the article does not reference american economic inequality; it discusses the potential economic impact of an oil tax, but does not specifically address income or wealth disparities.",0
78,An agenda bedeviled by the deficit,1993,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),134,"yes, the article discusses changes in income and wealth, specifically in relation to proposed changes to corporate and individual tax rates and their potential impact on economic growth and investment.",1
79,An early Christmas at Chrysler,1985,Nov,Time,2,6.67,"relinequality, implicit",135,"yes, this article references american economic inequality as it discusses the wage increases for chrysler's union workers, which highlights the income disparity between blue-collar workers and the company's higher earning officials.",1
80,"And Now, the Spoils Society",1985,Dec,Newsweek,1,10.0,"relinequality, explicit",137,"yes, the article discusses economic inequality by highlighting the redistribution of wealth through legal systems, corporate bureaucracies, and politics, and how this impacts different groups within society.",1
81,"And now, a domestic summit",1985,Dec,Newsweek,2,6.67,"relinequality, implicit",138,"no, the article does not reference american economic inequality, but it discusses economic policy, budget deficits, tax reform, and interest rates.",0
82,Anguish of the jobless,1982,Jan,Time,2,6.67,"relinequality, implicit",139,"yes, the article discusses economic inequality by highlighting the personal and societal impacts of unemployment, which is a significant factor in income inequality.",1
83,Are We Broke Yet?,2009,Sep,Time,4,6.67,"releconomy (employment, economy)",142,"no, the article does not reference american economic inequality, but rather discusses the national deficit and its impact on the economy.",0
84,Are raises bad for America?,1999,Aug,U.S. News & World Report,2,6.67,"relinequality, implicit",143,"yes, the article discusses issues of income and wealth changes, as well as general economic conditions, as it explores the impact of wage increases on inflation and the strategies companies are using to manage rising labor costs.",1
85,As for investments ,1986,May,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),146,"no, the article does not reference american economic inequality, but rather discusses potential changes in tax laws and their impact on various types of investments.",0
