,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"no, the article does not reference american economic inequality as it does not discuss wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or relational or comparative language among different social class groups.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"yes, the article does reference american economic inequality as it discusses the economic conditions of different social classes, including the destitute and the middle class, and mentions the economic stress faced by farmers due to lower prices.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"yes, the article does reference american economic inequality as it discusses the economic and social divisions in the u.s., the impact of the financial crisis on taxpayers, and the debate over whether the rich should be taxed more.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"no, the article does not reference american economic inequality as it primarily discusses the relevance of different college majors for public sector jobs and does not touch upon income inequality, wealth distribution, or economic conditions.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"no, the article does not reference american economic inequality as it primarily discusses political issues and the potential for tax increases, but does not specifically address wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or relational or",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"yes, the article does reference american economic inequality as it discusses the potential for increased polarization between high-tech, finance and top management executives and midlevel jobs, which could lead to a more polarized rich-vs.-poor society.",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"yes, the article references american economic inequality as it discusses potential changes in income due to proposed tax increases and spending cuts, as well as the impact of these changes on different social class groups.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"yes, the article references american economic inequality as it discusses the differences in unemployment rates among various social class groups and industries, which falls under the criteria of wage, earnings, pay, and income inequality.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"yes, the article does reference american economic inequality as it discusses changes in tax policies that could disproportionately benefit the business sector over individual taxpayers, which relates to income and wealth inequality.",1
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"yes, the article references american economic inequality as it discusses changes in income through tax cuts and increases, and how these changes affect different social class groups, particularly the middle class and the wealthy.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"no, the article does not reference american economic inequality as it primarily focuses on career advice and job market outlooks, without discussing wage, income, or wealth inequality, or economic policies related to inequality.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"no, the article does not reference american economic inequality as it primarily discusses the personal benefits of working longer and does not focus on wage, earnings, pay, income inequality, or economic conditions among different social class groups.",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"yes, the article does reference american economic inequality as it discusses the impact of federal budget cuts on local communities, particularly on the poor and working class, which aligns with the criteria of income inequality and policy solutions related to economic inequality.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"no, the article does not reference american economic inequality as it primarily discusses tax cuts and their potential political implications, but does not specifically address wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or relational or comparative",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"no, the article does not reference american economic inequality as it does not discuss wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or relational or comparative language among different social class groups.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"no, the article does not reference american economic inequality as it primarily focuses on the political debate around tax policy without discussing income or wealth disparities, or comparing different social class groups.",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"no, the article does not reference american economic inequality as it primarily discusses the political struggle over a proposed constitutional amendment to balance the federal budget, without specifically addressing income or wealth inequality, or comparing different social class groups.",0
