,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,,3,10.0,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality because it primarily discusses the federal budget, deficit, and potential changes in spending and taxation, without explicitly comparing or discussing the impact on different economic or social class",0
1,'85 outlook: year of change,1984,Dec,,1,6.67,"relinequality, explicit",,"yes, the article is relevant to inequality as it discusses the economic conditions of different social groups, such as the destitute, urban ghettos, and farmers, in the context of broader economic",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,,1,6.67,"relinequality, explicit",,"yes, the article is relevant to inequality as it discusses the wealth of billionaire george soros, his investment strategies, and his views on economic conditions, which can indirectly relate to income inequality.",1
3,'Mission Critical' Skills and Majors,2010,Nov,,3,6.67,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality because it discusses career advice and skills for public sector jobs, but does not mention economic or social class groups, or any issues related to income or wealth inequality",0
4,'Vindicated' -- Not Gloating,1987,Nov,,3,10.0,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality because it primarily discusses political issues and the potential for tax increases, but does not explicitly compare or discuss differences in income, wealth, or economic status between different",0
5,'We're under attack': online forum,2002,Apr,,1,6.67,"relinequality, explicit",,"yes, the article is relevant to inequality as it discusses the potential for a more polarized society due to changes in the job market, specifically an increase in demand for high-tech, finance and top management",1
6,"1,000 Points of Spite",1990,Oct,,1,10.0,"relinequality, explicit",,"yes, the article is relevant to inequality as it discusses potential changes in income taxes on the wealthy and the impact of budget plans on different economic groups.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,,4,6.67,"releconomy (employment, economy)",,"yes, the article is relevant to inequality as it discusses the varying unemployment rates among different groups such as white-collar workers, blue-collar workers, service workers, and farm workers, indicating a disparity in economic",1
8,1981 tax cut for business?,1980,Jul,,2,6.67,"relinequality, implicit",,"yes, the article is relevant to inequality as it discusses a proposed tax cut that would disproportionately benefit the business sector over individual taxpayers, indicating a potential increase in economic inequality.",1
9,1992 tax guide,1992,Mar,,1,6.67,"relinequality, explicit",,"yes, the article is relevant to inequality as it discusses tax cuts and increases that disproportionately affect different economic classes, such as raising the top rate for individuals with taxable income over $85,000 and couples",1
10,2007 Career Guide,2007,Mar,,2,10.0,"relinequality, implicit",,"no, the article is not relevant to inequality as it primarily focuses on career advice and does not discuss issues related to income inequality, wealth distribution, or economic disparities between different social classes.",0
11,7 Reasons Not to Retire,2006,Jun,,3,10.0,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality as it primarily discusses the benefits of not retiring and does not focus on income or wealth disparities between different economic or social class groups.",0
12,A City Under the Ax,1981,Mar,,1,10.0,"relinequality, explicit",,"yes, the article is relevant to inequality as it discusses the impact of proposed budget cuts on different social classes, particularly the poor and working class, in milwaukee.",1
13,A Fever for Tax Cuts,1994,Sep,,3,10.0,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality because it discusses tax cuts and their potential effects on the economy and state budgets, but does not explicitly mention or compare the impacts on different economic or social class",0
14,A Fun-Free Recovery,2009,Jun,,3,6.67,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality because it discusses general economic conditions and predictions without explicitly mentioning or comparing the economic status of different social or economic groups.",0
15,A Great August Tax Debate,1984,Aug,,3,10.0,relchanges (income/wages/earnings/etc.),,"yes, the article is relevant to inequality as it discusses potential tax increases and their impact on different economic groups, which could affect income inequality.",1
16,A Juggernaut Slows Down,1982,Aug,,3,10.0,relchanges (income/wages/earnings/etc.),,"no, the article is not relevant to inequality because it primarily discusses a legislative issue related to the federal budget and does not mention or compare income, wealth, or economic conditions of different social or economic groups",0
17,A Little Help for Some Friends,1990,Nov,,3,10.0,relchanges (income/wages/earnings/etc.),,"yes, the article is relevant to inequality as it discusses tax breaks and benefits for specific industries and companies, which can contribute to economic inequality.",1
