,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"no, the article does not reference american economic inequality, it discusses the national budget, deficit, and potential economic strategies, but does not specifically address income or wealth disparities.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"yes, the article references american economic inequality by discussing the gaps in the economy's beneficence, mentioning the destitute and large pockets of poverty in urban ghettos.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"yes, the article references american economic inequality when it discusses the occupy wall street movement and the issues of unemployment and taxation of the rich.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"no, this article does not reference american economic inequality as it focuses on advice for choosing college majors and skills for public sector jobs.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"no, the article does not reference american economic inequality, it primarily discusses political issues, potential tax increases, and the political careers of walter mondale and ronald reagan.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"yes, the article indirectly references american economic inequality by discussing the potential for job loss due to technological advancements and the possibility of a more polarized rich-vs-poor society due to changes in job demand.",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"yes, the article discusses potential changes in income taxes on the wealthy and tax relief for poor working families, which are issues related to economic inequality.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"yes, the article references american economic inequality by discussing the high unemployment rates and how they disproportionately affect different sectors and regions of the country.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"no, this article does not reference american economic inequality as it primarily discusses tax cuts, economic conditions, and fiscal policies without directly addressing income or wealth disparities.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"yes, the article references american economic inequality by discussing a proposed tax bill that includes measures aimed at wealth redistribution, such as tax cuts for the middle class and tax increases for the wealthy.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"no, the article does not reference american economic inequality as it primarily focuses on career advice and job market outlooks.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"no, this article does not reference american economic inequality; it discusses the benefits of continuing to work past retirement age.",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"yes, the article references american economic inequality by discussing the impact of proposed budget cuts on various social services and infrastructure projects, which could disproportionately affect the poor and working-class citizens of milwaukee.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"no, the article does not reference american economic inequality as it primarily discusses tax cuts and their potential effects on the economy and political landscape, without specifically addressing income or wealth disparities.",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"no, the article does not reference american economic inequality, it discusses the general economic conditions and future predictions without specifically addressing income or wealth disparities.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"no, the article does not reference american economic inequality as it primarily focuses on the political debate around tax policy during the reagan administration.",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"no, the article does not reference american economic inequality, it discusses a proposed constitutional amendment to balance the federal budget.",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"yes, the article references american economic inequality by discussing how certain tax breaks and provisions benefit specific industries and companies, potentially contributing to wealth disparities.",1
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"yes, the article discusses economic inequality by highlighting the excessive compensation and perks received by american ceos compared to average employees.",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"no, this article does not reference american economic inequality as it primarily discusses the budget deficit, political negotiations, and potential tax changes.",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"no, the article does not reference american economic inequality as it primarily discusses changes in tax laws and their potential impact on investment and the federal deficit.",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"no, this article does not reference american economic inequality, it focuses on an individual's personal journey to wealth through unconventional saving techniques and smart investments.",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"yes, the article references american economic inequality by discussing public policies related to tax enforcement and welfare programs.",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"no, the article does not reference american economic inequality, it discusses the potential impact of economic conditions on the 2008 presidential race.",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"no, the article does not reference american economic inequality as it primarily discusses political strategies and debates around tax legislation without mentioning income or wealth disparities.",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"no, this article does not reference american economic inequality, it discusses the impact of new ergonomic regulations on businesses and workers.",0
