,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"no, the article does not meet the criteria for referencing american economic inequality as it primarily discusses budget deficits, federal spending, and potential tax changes without directly addressing income inequality, wealth distribution, or economic conditions among different social classes.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"yes, the article references american economic inequality as it discusses the economic conditions of different social classes, including the destitute and the middle class, and mentions the issue of poverty in urban ghettos.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"yes, the article references american economic inequality by discussing the occupy wall street movement, which is a protest against income inequality and wealth distribution in the u.s.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"no, the article does not reference american economic inequality as it primarily discusses the importance of choosing a college major based on personal interests and potential job opportunities, without discussing wage, earnings, pay, income inequality, or economic conditions.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"no, the article does not meet the criteria for referencing american economic inequality as it primarily discusses political issues and individual politicians without directly addressing wage, earnings, pay, income inequality, or comparative language among different social classes.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"yes, the article references american economic inequality as it discusses the potential for job loss due to technological advancements and the potential for a more polarized rich-vs.-poor society due to changes in job demand.",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"yes, the article discusses changes in income and wealth through proposed tax increases and cuts in public services, which are related to economic inequality.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"yes, the article references american economic inequality as it discusses wage and income inequality through the lens of unemployment rates among different worker groups and industries.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"yes, the article references american economic inequality as it discusses changes in income and wealth distribution through tax cuts and their impact on different social classes, such as businesses and individual taxpayers.",1
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"yes, the article references american economic inequality as it discusses changes in income through tax cuts and increases for different income groups, which is related to wage, earnings, pay, and income inequality.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"no, the article does not reference american economic inequality as it primarily focuses on career advice and does not discuss income inequality, wealth distribution, or economic conditions.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"no, the article does not reference american economic inequality as it primarily discusses the benefits of continuing to work into retirement age, without discussing wage, income, or wealth inequality, or economic policies related to inequality.",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"yes, the article references american economic inequality as it discusses the impact of federal budget cuts on local economies, particularly affecting the poor and working-class citizens in milwaukee.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"no, the article does not meet the criteria for referencing american economic inequality as it primarily discusses tax cuts and their political implications, without discussing wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or relational or comparative",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"no, the article does not reference american economic inequality as it does not discuss wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or use relational or comparative language among different social class groups.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"no, the article does not reference american economic inequality as it primarily discusses political strategies and debates around tax policy without addressing income or wealth disparities, or comparing different social class groups.",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"no, the article does not reference american economic inequality as it primarily discusses a legislative proposal to balance the federal budget, without discussing wage, earnings, pay, or income inequality, causes and policy solutions related to economic inequality, or comparisons among different social class",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"yes, the article references american economic inequality as it discusses policy decisions and tax breaks that could potentially affect income distribution among different social and economic classes.",1
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"yes, the article references american economic inequality by discussing the large income and perks of ceos compared to other employees, highlighting wage and income inequality.",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"no, the article does not reference american economic inequality as it primarily discusses the budget deficit, taxation, and political maneuvering without addressing wage, income, or wealth inequality, or comparing different social class groups.",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"no, the article does not reference american economic inequality as it primarily discusses tax legislation and its potential impacts on investment and the federal deficit, without discussing wage, earnings, pay, income inequality, or comparative language among different social classes.",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"no, the article does not reference american economic inequality as it primarily focuses on an individual's personal journey to wealth and does not discuss wage, earnings, pay, income inequality, causes and policy solutions related to economic inequality, or relational or comparative language among",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"yes, the article references american economic inequality as it discusses policy solutions related to economic inequality, such as the tax-amnesty program and the employment and training choices program.",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"no, the article does not reference american economic inequality as it primarily discusses political strategies, predictions for the 2008 presidential race, and general economic conditions without specifically addressing income inequality, wage disparities, or comparative language among different social class groups.",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"no, the article does not reference american economic inequality as it primarily discusses political strategies and debates around tax legislation, without specifically addressing issues of income inequality, wealth distribution, or economic conditions of different social classes.",0
