,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"relevant, because the article discusses the disparity between the cost of living and the personal exemption provided by the government, highlighting an aspect of economic inequality.",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"relevant, because it discusses changes in income and wealth distribution due to proposed budget cuts and potential tax increases.",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"relevant, because the article discusses changes in income and wealth, such as spending cuts, tax law revamps, and economic conditions affecting various sectors of society including the destitute, urban ghettos, and farmers.",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"irrelevant, because the article discusses the oklahoma city bombing and its political implications, not issues of economic inequality or wealth distribution.",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"irrelevant, because the article is a personal narrative about dealing with the irs and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"irrelevant, because the article focuses on hacktivism and political protests, not on issues of income inequality, changes in wealth, or general economic conditions.",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"relevant, because the article discusses the potential economic and social divisions in the u.s., the consequences of the financial crisis, and the occupy wall street movement which are all related to income and wealth inequality.",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"irrelevant, because the article focuses on advice for choosing college majors and enhancing employability in the public sector, rather than discussing issues of income inequality, changes in income or wealth, or general economic conditions.",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"irrelevant, because the article focuses on racial tensions and immigration issues in spain, not on american economic inequality.",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"irrelevant, because the article primarily discusses political debates and strategies related to war and security issues, not economic inequality or changes in income or wealth.",0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"irrelevant, because the article focuses on civil rights and issues related to the deaf community, not on income inequality, changes in income or wealth, or general economic conditions.",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"relevant, because the article discusses potential tax increases and economic policies, which are directly related to income and wealth distribution.",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"relevant, because it discusses the potential impact of technology on various job sectors, which could lead to changes in income and wealth distribution.",1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"relevant, because the article discusses changes in income and wealth distribution through proposed tax increases and cuts in public services, which are directly related to economic inequality.",1
14,10 Questions for Andrew Stern,2005,Aug,Time,1,6.67,"relinequality, explicit",15,"relevant, because the article discusses issues related to labor unions, workers' rights, and income, which are all factors that can influence economic inequality.",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"irrelevant, because the article is an interview with william f. buckley jr. about his views on various political and cultural issues, but it does not discuss income inequality, changes in income or wealth, or general economic conditions.",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"relevant, because the article discusses unemployment rates and economic conditions in different sectors and states, which are factors contributing to income inequality.",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"irrelevant, because the article discusses historical political uprisings in europe and their parallels with recent events in north africa and the middle east, but does not address issues of american economic inequality.",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"relevant, because the article discusses changes in tax policy that could potentially affect income distribution and economic conditions in the united states.",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"irrelevant, because the article is a historical recount of various events and quotes from 1983, but does not discuss issues related to american economic inequality, changes in income or wealth, or general economic conditions.",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"relevant, because it discusses instances of wealth acquisition and distribution through state lotteries, which can be related to issues of income and wealth.",1
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"relevant, because the article discusses changes in tax policy that could affect income distribution among different economic classes in america.",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"relevant, because the article discusses various job sectors, their growth, and the income levels associated with them, which can contribute to the understanding of income distribution and economic inequality.",1
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"relevant, because the article discusses various career paths, their income potential, and the economic conditions related to these careers.",1
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"relevant, because the article discusses the economic implications and benefits of working past retirement age, which can contribute to wealth accumulation and affect income inequality.",1
