,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"relevant, because the article discusses the inadequacy of the personal tax exemption in relation to the cost of living, highlighting an aspect of economic inequality.",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"relevant, because the article discusses changes in economic conditions, specifically regarding budget deficits and their potential impact on social-welfare benefits and interest rates.",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"relevant, because the article discusses changes in economic conditions, including issues of poverty, unemployment, and income changes.",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"irrelevant, because the article focuses on the oklahoma city bombing and political discourse, without discussing issues of economic inequality, wealth, or income changes.",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"irrelevant, because the article is a personal account of dealing with the irs and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"irrelevant, because the article focuses on political hacktivism and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"relevant, because the article discusses the views of billionaire george soros on the global economic system, potential financial collapse, and social divisions in the u.s., which are all related to economic conditions and wealth.",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"irrelevant, because the article focuses on career advice and college majors, without discussing issues of income inequality, changes in income or wealth, or general economic conditions.",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"irrelevant, because the article focuses on racial tensions and immigration issues in spain, not on economic inequality in the united states.",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"irrelevant. the article primarily discusses political debates and strategies related to war and security, without any significant mention of income inequality, changes in income or wealth, or general economic conditions.",0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"irrelevant. the article focuses on civil rights and issues related to the deaf community, but does not discuss economic inequality, changes in income or wealth, or general economic conditions.",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"relevant, because the article discusses potential tax increases and their impact on the economy, which is related to income and wealth changes.",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"relevant, because the article discusses the impact of technology on various jobs and industries, which can lead to changes in income and wealth distribution.",1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"relevant, because the article discusses potential changes in income due to proposed tax increases and cuts in public services, which could impact economic inequality.",1
14,10 Questions for Andrew Stern,2005,Aug,Time,1,6.67,"relinequality, explicit",15,"relevant, because the article discusses issues related to labor unions, job development, and the impact of global employers on workers, which are all factors that can influence economic inequality.",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"irrelevant. the article is an interview with william f. buckley jr. about his political views and experiences, and does not discuss american economic inequality, changes in income or wealth, or general economic conditions.",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"relevant, because the article discusses changes in unemployment rates across different sectors and states, which is a key aspect of economic conditions and income inequality.",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"irrelevant. the article discusses historical political uprisings in europe and current events in north africa and the middle east, but does not mention american economic inequality, changes in income or wealth, or general economic conditions.",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"relevant, because the article discusses changes in tax policy that could potentially affect income distribution and economic conditions in the u.s.",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"irrelevant. the article is a review of various events and quotes from 1983, but it does not discuss issues related to income inequality, changes in income or wealth, or general economic conditions.",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"irrelevant. the article focuses on various events from 1984, including personal anecdotes and political happenings, but does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"relevant, because the article discusses changes in tax policy that could affect income distribution among different economic classes in the u.s.",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"relevant. the article discusses various job tracks and their respective salaries, which can contribute to the understanding of income distribution and economic inequality in the u.s.",1
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"irrelevant. the article focuses on career advice and job market trends, but does not discuss issues of income inequality, changes in wealth, or general economic conditions in the u.s.",0
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"relevant. the article discusses the economic implications of retirement and the financial benefits of continuing to work, which relates to income and wealth changes among the aging population in america.",1
25,7. Working may add Meaning to your later life,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,26,"irrelevant, because the article focuses on the motivations and benefits of older individuals continuing to work, without discussing issues of income inequality, changes in income or wealth, or general economic conditions.",0
26,A Can-Do Nation,2007,Apr,Time,5,6.67,irrelevant,27,"relevant, because the article discusses issues related to income inequality, such as the growing income gap, healthcare, and education.",1
27,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"relevant, because the article discusses the impact of federal budget cuts on local economies, social services, and poverty, which are all related to economic inequality.",1
28,A Family Divided,2008,Oct,Time,5,6.67,irrelevant,29,"irrelevant, because the article focuses on personal political differences within a family and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
29,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"relevant, because the article discusses tax cuts and their potential impact on the economy, which can influence income and wealth distribution.",1
30,A Fondness for Gray Hair,2004,Mar,U.S. News & World Report,5,6.67,irrelevant,31,"relevant, because the article discusses the economic conditions of older workers, including income disparities and age discrimination in the workplace.",1
31,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"relevant, because the article discusses changes in economic conditions, such as the end of the recession, the shift to frugality, bear markets, volatility, high energy prices, and higher taxes, which can all impact income and wealth distribution.",1
32,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"relevant, because the article discusses potential changes in tax policy and its implications on the economy, which can directly impact income and wealth distribution.",1
33,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"relevant, because it discusses changes in fiscal policy and government spending, which can impact income and wealth distribution.",1
34,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"relevant, because the article discusses tax breaks and provisions that could contribute to income inequality by benefiting specific industries and companies.",1
35,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"relevant, because the article discusses the excessive compensation and perks of ceos, highlighting a significant wealth disparity between top executives and average employees.",1
36,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"relevant, because the article discusses potential changes in taxation and spending, which are directly related to economic conditions and could impact income inequality.",1
37,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"relevant, because the article discusses changes in tax policy that could potentially affect income distribution and economic conditions in the u.s.",1
38,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"irrelevant, because the article focuses on an individual's personal wealth accumulation strategy and does not discuss broader economic conditions or issues of income inequality.",0
39,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"relevant, because the article discusses public policies related to tax enforcement and welfare programs, which are directly linked to issues of income and wealth distribution.",1
40,A Monster on the Loose,2005,Apr,Newsweek,5,6.67,irrelevant,41,"irrelevant, because the article focuses on the political and economic tensions between china and japan, without discussing american economic inequality or wealth changes.",0
41,A Nazi-era bill finally comes due,1999,Feb,Newsweek,5,6.67,irrelevant,42,"irrelevant, because the article focuses on world war ii's slave-labor camps and lawsuits against companies that profited from them, which does not relate to american economic inequality.",0
42,A New French Revolution,2007,Dec,Newsweek,5,6.67,irrelevant,43,"irrelevant. the article focuses on the economic and political situation in france, not on american economic inequality.",0
43,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"relevant, because the article discusses changes in economic conditions, potential recession, and the impact of these factors on the upcoming presidential election.",1
44,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"relevant, because the article discusses changes in tax policy, which can directly impact income distribution and economic inequality.",1
45,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"relevant, because it discusses the economic impact of new regulations on businesses, which could potentially affect income and wealth distribution.",1
46,A Political Prescription,2004,Feb,U.S. News & World Report,5,10.0,irrelevant,47,"relevant, because the article discusses medicare reform and its potential economic impact on senior citizens, which relates to issues of income inequality and changes in wealth.",1
47,A Religious-Right Revival,2008,Sep,Newsweek,5,6.67,irrelevant,48,"irrelevant, because the article focuses on religious and political issues, without discussing economic inequality, changes in income or wealth, or general economic conditions.",0
48,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"irrelevant. the article discusses societal resilience and political civility in the united states, but it does not address issues of economic inequality, changes in income or wealth, or general economic conditions.",0
49,A Reward for Good Behavior,2007,Oct,Newsweek,5,10.0,irrelevant,50,"irrelevant, because the article focuses on an african businessman's philanthropic efforts in africa and does not discuss american economic inequality or wealth changes.",0
50,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"relevant, because the article discusses the economic challenges facing the united states, including high unemployment and a struggling middle class, which are indicators of income inequality.",1
51,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"irrelevant, because the article focuses on political figures and their roles, without discussing issues of income inequality, changes in income or wealth, or general economic conditions.",0
52,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"relevant. the article discusses the financial economy, including issues of loans, investments, and credit markets, which are factors that can influence income and wealth distribution.",1
53,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"relevant, because the article discusses the impact of income inequality on the financing of social security and suggests solutions that involve addressing this inequality.",1
54,A Swoosh under siege,1999,Apr,U.S. News & World Report,5,6.67,irrelevant,55,"relevant, because it discusses the economic issue of foreign sweatshop labor and its impact on a major american company's business practices and profits.",1
55,A Tax Band-Aid For J&J's Big Deal,2006,Aug,Newsweek,5,6.67,irrelevant,56,"relevant, because it discusses a significant tax break for a large corporation, which can be seen as an aspect of economic inequality.",1
56,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"relevant, because the article discusses a proposed tax increase and its potential economic impact on different income groups.",1
57,A Tricker Tax Season,2007,Mar,U.S. News & World Report,5,6.67,irrelevant,58,"relevant, because the article discusses tax policies and regulations which can impact income and wealth distribution among different economic classes in the u.s.",1
58,A U.N. 'plot' on U.S. rivers,1997,Oct,U.S. News & World Report,5,6.67,irrelevant,59,"irrelevant, because the article focuses on environmental conservation, property rights, and conspiracy theories, but does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
59,A Vigorous Voice from The Right--at Berkeley!,2003,Feb,Time,5,6.67,irrelevant,60,"irrelevant, because the article focuses on political ideologies and student activism at a university, without discussing issues of economic inequality, wealth, or changes in income.",0
60,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"relevant, because the article discusses various economic policies proposed by political candidates, which could impact income inequality and general economic conditions in the u.s.",1
61,A battle over the cross,1984,Mar,Newsweek,5,6.67,irrelevant,62,"irrelevant, because the article focuses on religious and political issues in poland, without any mention of economic inequality, changes in income or wealth, or general economic conditions.",0
62,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"relevant, because the article discusses the economic conditions of retirement and the income inequality between current workers and retirees.",1
63,"A building, a tragedy",1995,Feb,U.S. News & World Report,5,10.0,irrelevant,64,"irrelevant, because the article focuses on a specific incident of a construction accident and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
64,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,"relevant, because the article discusses changes in income and wealth, as well as general economic conditions in the u.s., such as recovery, employment, business investment, and manufacturing.",1
65,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,"relevant, because the article discusses a tax cut policy that could potentially affect income distribution and economic conditions in the u.s.",1
66,A campus divided by three words,1995,Feb,Newsweek,5,6.67,irrelevant,67,"irrelevant, because the article focuses on racial issues and a specific incident at rutgers university, without discussing economic inequality or wealth distribution.",0
67,A chasm of misery,1989,Nov,Time,5,6.67,irrelevant,68,"irrelevant, because the article focuses on economic inequality in latin america, not in the united states.",0
68,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,"relevant, because the article discusses changes in tax policy that could affect income and wealth distribution among different groups in the u.s. economy.",1
69,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,"relevant, because the article discusses a deficit plan that includes changes in income through tax increases and spending cuts, which could impact economic inequality.",1
70,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,"relevant, because the article discusses economic policies and strategies of the bush administration that could potentially impact income and wealth distribution in the u.s.",1
71,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,"relevant, because the article discusses changes in employment rates across various cities, which is related to income and economic conditions.",1
72,A distant thunder on the right: conservatives regroup in the age of glasnost,1989,Dec,Newsweek,5,6.67,irrelevant,73,"irrelevant, because the article focuses on political changes and ideological shifts in conservatism during the gorbachev era, without discussing issues of economic inequality, wealth, or income changes.",0
73,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,"relevant. the article discusses changes in the u.s. economy, including consumer spending, corporate profits, and employment, which are all factors related to income and wealth.",1
74,A double-edged summer surprise,1992,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),75,"relevant, because the article discusses changes in economic conditions, consumer sentiment, and government and private sector responses which can impact income and wealth distribution.",1
75,A fair question,2000,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",76,"relevant, because the article discusses the impact of different tax policies on income distribution and economic inequality.",1
76,A fight for the soul of the party,1992,Aug,U.S. News & World Report v. 113 (August 31-September 7 1992) p. 58,5,6.67,irrelevant,77,"irrelevant, because the article focuses on political dynamics within the republican party and does not discuss issues of income inequality, changes in income or wealth, or general economic conditions.",0
77,A gaggle of New Year's guesses,1987,Dec,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",78,"relevant, because the article discusses predictions about economic conditions and uncertainty, which could potentially impact income and wealth distribution.",1
78,A healthy trend ends,1998,Sep,U.S. News & World Report,5,6.67,irrelevant,79,"relevant, because it discusses the rising cost of healthcare, which is a significant economic issue that can contribute to income inequality.",1
79,A kind word for taxes,1986,Jul,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),80,"relevant, because the article discusses taxation, which is directly related to income and wealth distribution in the society.",1
80,A leap of faith--into the abyss perhaps?,2001,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),81,"relevant, because the article discusses tax cuts and their potential impact on different income groups, which relates to issues of income inequality.",1
81,A message to conservatives,1983,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",82,"relevant, because the article discusses economic issues such as unemployment, taxes, and economic growth which are related to income inequality.",1
82,A most debated issue,1985,Jul,Time,1,6.67,"relinequality, explicit",83,"relevant, because the article discusses the impact of illegal immigration on wages and job opportunities, which are factors contributing to economic inequality.",1
83,A nation divided,1999,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",84,"relevant, because the article discusses the widening gap between the rich and the poor in america, changes in income, and the distribution of wealth.",1
84,A new breed of activism,1985,May,Newsweek,5,6.67,irrelevant,85,"irrelevant. the article focuses on student activism and divestment from south africa due to apartheid, not on american economic inequality.",0
85,A new divide between haves and have-nots?,1995,Spring,Time,1,6.67,"relinequality, explicit",86,"relevant, because the article discusses the economic divide between those who have access to technology and those who do not, which is a form of income inequality.",1
86,A new-style recession,2002,Apr,U.S. News & World Report v. 132 no. 12 (April 15 2002) p. 30-2,1,6.67,"relinequality, explicit",87,"relevant, because the article discusses changes in economic conditions, including the impact of the recession on different income groups and the disparity between corporate and consumer confidence.",1
87,A pardon overheard,2001,Aug,Newsweek,5,6.67,irrelevant,88,"irrelevant, because the article focuses on the political and legal aspects of marc rich's pardon, without discussing broader economic conditions or issues of income inequality.",0
88,A paycheck revolt in '96?,1996,Feb,Newsweek,1,1.0,"relinequality, explicit",89,"relevant, because the article discusses changes in income, wealth distribution, and economic conditions in the united states, highlighting issues of income inequality.",1
89,A plumper nest egg,2002,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),90,"relevant, because the article discusses changes in income and wealth through tax incentives and retirement savings programs, which can impact economic inequality.",1
90,A president and a pardon. A price?,2001,Feb,U.S. News & World Report,5,6.67,irrelevant,91,"irrelevant, because the article focuses on a specific case of political controversy and potential corruption, without discussing broader economic conditions or issues of income inequality.",0
91,A question of confidence,2001,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),92,"relevant, because the article discusses changes in economic conditions, such as a potential recession, changes in consumer spending, and the impact of these changes on different sectors of the economy.",1
92,A radical plan for tax reform,1986,May,Newsweek,1,6.67,"relinequality, explicit",93,"relevant, because the article discusses a tax reform plan that would significantly alter the distribution of the tax burden among different income groups, which is directly related to issues of income inequality.",1
93,A regime on the ropes,1988,Sep,Time,5,6.67,irrelevant,94,"irrelevant, because the article focuses on political unrest in burma and does not discuss american economic inequality, changes in income or wealth, or general economic conditions.",0
94,A righteous indignation,1998,May,U.S. News & World Report,5,6.67,irrelevant,95,irrelevant. the article focuses on political and religious issues within the republican party and does not discuss economic inequality or related topics.,0
95,A stirring in the streets,1997,Jan,Newsweek,5,6.67,irrelevant,96,"irrelevant, because the article focuses on political unrest in serbia and does not discuss american economic inequality, changes in income or wealth, or general economic conditions.",0
96,A surprising jog to the right,2003,Nov,U.S. News & World Report,5,6.67,irrelevant,97,"irrelevant, because the article discusses the cultural and political shift towards conservatism in media and entertainment, but does not mention issues of income inequality, changes in income or wealth, or general economic conditions.",0
97,A swampful of troubles,1983,Apr,U.S. News & World Report,2,6.67,"relinequality, implicit",98,"irrelevant. the article primarily discusses various political and foreign policy issues faced by president reagan, without any specific focus on income inequality, changes in income or wealth, or general economic conditions in the u.s.",0
98,A tale of two Austins,2000,Feb,U.S. News & World Report,1,1.0,"relinequality, explicit",99,"relevant, because the article discusses the growing wealth gap in austin due to the high-tech boom, highlighting issues of income inequality and economic conditions.",1
99,A taxing change,2000,Jul,Time,1,6.67,"relinequality, explicit",100,"relevant, because the article discusses changes in tax policy that could impact wealth distribution and income inequality.",1
100,A time to celebrate,2000,Jul,U.S. News & World Report,1,6.67,"relinequality, explicit",101,"relevant, because the article discusses the american dream, income distribution, and upward mobility, which are all related to economic conditions and income inequality.",1
101,A triumph of moral force,1983,Oct,Time,5,6.67,irrelevant,102,"irrelevant, because the article focuses on the political situation in poland and the awarding of the nobel peace prize to lech walesa, without discussing issues of economic inequality, wealth, or income changes.",0
102,A worker's tale,1987,May,Time,5,6.67,irrelevant,103,"irrelevant, because the article focuses on the political and social conditions in poland, not economic inequality in the united states.",0
103,ADRIENNE RICH.,2012,Dec,Time,5,6.67,irrelevant,104,"irrelevant, because the article is about the life and work of poet adrienne rich and does not discuss issues of economic inequality, changes in income or wealth, or general economic conditions.",0
104,AMERICA THE ANXIOUS.,2012,Aug,Newsweek,1,6.67,"relinequality, explicit",105,"relevant, because the article discusses the economic conditions in america, the wealth gap, and the struggles of different economic classes, which are all related to income inequality.",1
