,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"Relevant: The article discusses the inadequacy of the personal exemption amount in relation to the rising cost of living, directly addressing issues of economic inequality and changes in income. 
",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"Relevant: The article discusses the US federal budget deficit, its impact on interest rates and inflation, and potential solutions like spending cuts and tax increases, all of which are directly related to economic conditions. 
",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Relevant: The article discusses economic trends in the US for 1985, including unemployment rates, consumer spending, company profits, and agricultural conditions.  
",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"Irrelevant, because it focuses on political commentary and assigning blame for the Oklahoma City bombing rather than economic issues. 
",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"Irrelevant; the article focuses on a personal experience with the IRS and does not discuss broader economic trends or issues related to income inequality. 
",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"Irrelevant, because the article focuses on political hacking and activism rather than economic issues within the United States. 
",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Relevant: The article discusses economic inequality, income disparities, and the potential for social unrest due to economic hardship, all of which are within the scope of the project. 
",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"Irrelevant; the article focuses on career advice and choosing a major for public service, not on economic trends or issues. 
",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"Irrelevant; while the article touches on immigration and labor, it focuses primarily on racial tensions and social unrest rather than economic conditions or trends. 
",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"Relevant: The article discusses the political climate surrounding the potential war with Iraq and its impact on the upcoming midterm elections, which directly relates to economic conditions and policy. 
",1
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"Irrelevant; while it discusses a protest at Gallaudet University, a college for the deaf, the focus is on civil rights and representation rather than economic issues. 
",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Relevant: The article discusses Reaganomics, tax increases, and the deficit, all of which are directly related to economic conditions and changes in income/wealth. 
",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Relevant: The article discusses the impact of technology on jobs and the future of work, which are key economic issues. 
",1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Relevant: The article discusses a proposed deficit reduction plan in the United States, which directly relates to economic issues and changes in income/wealth. 
",1
14,10 Questions for Andrew Stern,2005,Aug,Time,5,6.67,irrelevant,15,"Relevant: The article discusses Andrew Stern's vision for a more aggressive labor movement, which aims to address issues of worker compensation and job security in the face of globalization.  
",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"Irrelevant; the article is a profile of William F. Buckley Jr. and focuses on his political views and career rather than economic issues. 
",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Relevant: The article focuses on unemployment rates, a key indicator of economic conditions and income inequality. 
",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"Irrelevant, because it focuses on historical revolutions and does not discuss contemporary economic issues within the United States. 
",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Relevant: The article discusses proposed tax cuts in 1981, their potential impact on businesses and individual taxpayers, and the broader economic context of inflation and recession. 
",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"Irrelevant; the article focuses on cultural events and notable figures of 1983 without discussing economic trends, income inequality, or changes in wealth. 
",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"Irrelevant; the article focuses on anecdotes and cultural events of 1984 without discussing economic trends, income inequality, or changes in wealth. 
",0
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Relevant: The article discusses proposed tax cuts and economic incentives aimed at stimulating the US economy, which directly relates to changes in income and general economic conditions. 
",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"Relevant: The article discusses various hot job tracks across different industries, which is directly related to economic trends and income inequality. 
",1
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"Relevant: The article discusses various career paths and their pros and cons, which aligns with the topic of economic conditions and trends. 
",1
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Relevant, because it discusses the financial and health benefits of working longer, which is directly related to economic issues within the United States. 
",1
25,7. Working may add Meaning to your later life,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,26,"Irrelevant; the article focuses on the personal fulfillment and motivations behind working later in life rather than economic trends or issues. 
",0
26,A Can-Do Nation,2007,Apr,Time,5,6.67,irrelevant,27,"Relevant: The article discusses income inequality (""growing income inequality"") and potential solutions through government action, aligning with the project's focus on economic issues within the United States. 
",1
27,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Relevant: The article discusses how proposed federal budget cuts would impact Milwaukee, focusing on the potential loss of funding for public works, economic development, and social services. 
",1
28,A Family Divided,2008,Oct,Time,5,6.67,irrelevant,29,"Irrelevant, because the article focuses on personal familial relationships and political differences rather than broader economic trends or issues. 
",0
29,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"Relevant: The article discusses state and federal tax cuts in the context of economic growth and political considerations, which directly relates to changes in income and wealth. 
",1
30,A Fondness for Gray Hair,2004,Mar,U.S. News & World Report,5,6.67,irrelevant,31,"Relevant: The article discusses trends in employment among older Americans, including changes in wages and hiring practices, which directly relate to economic inequality and income changes. 
",1
31,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"Relevant: The article discusses economic trends like subnormal growth, frugality, bear markets, volatility, high energy prices, and higher taxes, all of which are directly related to the project's focus on income inequality, changes in income/wealth, and general economic conditions. 


",1
32,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"Relevant: The article discusses President Reagan's economic policies, including tax increases and the deficit, which are directly related to income inequality and general economic conditions. 
",1
33,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"Relevant: The article discusses a proposed constitutional amendment aimed at balancing the federal budget, which directly relates to changes in income/wealth and general economic conditions. 
",1
34,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"Relevant: The article discusses how legislators inserted provisions into a deficit-reduction package that benefited specific industries and campaign contributors, which relates to economic inequality and changes in income/wealth. 
",1
35,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Relevant: The article discusses CEO compensation, perks, and lavish spending, which are directly related to income inequality and economic conditions within the United States. 
",1
36,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"Relevant: The article discusses the US federal budget deficit, potential tax increases, and spending cuts, all of which are directly related to economic conditions and inequality. 
",1
37,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"Relevant: The article discusses changes in tax policy, specifically capital gains taxes and withholding on interest for foreign investors, which directly relate to income and economic conditions. 
",1
38,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"Relevant: The article discusses unconventional saving techniques and real estate investments that led to becoming a millionaire, directly relating to economic conditions and wealth accumulation. 
",1
39,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"Relevant: The article discusses innovative public policies implemented by the Massachusetts government aimed at improving economic conditions and reducing welfare dependency. 
",1
40,A Monster on the Loose,2005,Apr,Newsweek,5,6.67,irrelevant,41,"Irrelevant; the article focuses on geopolitical tensions between China and Japan, not US economic issues. 
",0
41,A Nazi-era bill finally comes due,1999,Feb,Newsweek,5,6.67,irrelevant,42,"Irrelevant; the article focuses on Nazi war crimes and reparations for slave labor during World War II, not on contemporary economic issues within the United States. 
",0
42,A New French Revolution,2007,Dec,Newsweek,5,6.67,irrelevant,43,"Relevant: The article discusses France's economic challenges, including labor laws and high unemployment, and how proposed reforms could impact its economic standing. 
",1
43,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"Relevant: The article discusses the potential impact of a recession on the 2008 presidential election, directly linking economic conditions to political outcomes. 
",1
44,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"Relevant: The article discusses a tax increase bill aimed at addressing federal deficits, a clear example of economic policy and changes in income/wealth. 
",1
45,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"Relevant: The article discusses workplace ergonomics regulations and their potential economic impact on businesses, including costs and concerns about worker compensation claims. 
",1
46,A Political Prescription,2004,Feb,U.S. News & World Report,5,10.0,irrelevant,47,"Relevant: The article discusses Medicare reform, which has implications for income and wealth distribution among seniors. 
",1
47,A Religious-Right Revival,2008,Sep,Newsweek,5,6.67,irrelevant,48,"Irrelevant; the article focuses on political affiliations and religious beliefs within the evangelical community rather than economic issues. 
",0
48,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"Irrelevant; the article focuses on social stability and resilience in the face of tragedy, not economic issues. 
",0
49,A Reward for Good Behavior,2007,Oct,Newsweek,5,10.0,irrelevant,50,"Relevant: The article discusses Mo Ibrahim's initiative to reward African leaders for good governance, which directly relates to economic conditions and inequality within Africa. 
",1
50,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Relevant; the article discusses the need for innovation and economic growth in the US, linking it to global competition and comparing it to the Sputnik moment. 
",1
51,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"Irrelevant; the article focuses on political appointments and personalities within the Reagan administration rather than economic trends or issues. 
",0
52,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"Relevant: The article discusses the subprime mortgage crisis and its potential impact on the real economy, including credit markets, lending practices, and overall economic stability. 
",1
53,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"Relevant: The article discusses changes in income inequality (specifically the disparity between high earners and everyone else) and how that impacts Social Security funding. 
",1
54,A Swoosh under siege,1999,Apr,U.S. News & World Report,5,6.67,irrelevant,55,"Relevant: The article discusses Nike's labor practices and student protests related to sweatshop conditions, which directly ties into issues of income inequality and economic conditions. 
",1
55,A Tax Band-Aid For J&J's Big Deal,2006,Aug,Newsweek,5,6.67,irrelevant,56,"Relevant: The article discusses a large corporate acquisition and how tax laws are being used to reduce the effective cost of the deal, which is directly related to changes in income/wealth for corporations.  
",1
56,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"Relevant: The article discusses a proposed gas tax increase and its potential impact on consumer behavior and the national deficit, which are economic issues within the United States. 
",1
57,A Tricker Tax Season,2007,Mar,U.S. News & World Report,5,6.67,irrelevant,58,"Relevant: The article discusses tax deductions, credits, and changes in tax law, all of which are directly related to economic conditions and income inequality in the United States. 
",1
58,A U.N. 'plot' on U.S. rivers,1997,Oct,U.S. News & World Report,5,6.67,irrelevant,59,"Irrelevant; the article focuses on political conspiracy theories surrounding environmental policy rather than economic issues like income inequality or changes in wealth. 
",0
59,A Vigorous Voice from The Right--at Berkeley!,2003,Feb,Time,5,6.67,irrelevant,60,"Irrelevant; the article focuses on a conservative magazine's political activism at a university and does not discuss economic issues, income inequality, or changes in wealth. 
",0
60,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"Relevant: The article discusses economic issues facing the US, including unemployment, housing crisis, and tax policy proposals from presidential candidates. 
",1
61,A battle over the cross,1984,Mar,Newsweek,5,6.67,irrelevant,62,"Irrelevant, because the article focuses on a religious conflict and doesn't discuss economic issues within the United States. 
",0
62,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"Relevant: The article discusses retirement income projections for a typical couple, analyzing Social Security benefits, savings, and projected expenses, which directly relates to economic conditions and income changes. 
",1
63,"A building, a tragedy",1995,Feb,U.S. News & World Report,5,10.0,irrelevant,64,"Irrelevant, because the article focuses on a specific construction accident and its aftermath, not broader economic trends within the United States. 
",0
