,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, this article focuses on state and local tax revenue and does not discuss income inequality. 
",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"No, this article focuses on state and local tax revenue and does not discuss income inequality. 
",0
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"This article focuses on state and local tax collections across the US, providing data on per capita taxes and tax burdens as a percentage of personal income. It doesn't discuss American economic inequality directly. 


",0
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"The article focuses on career advice for those interested in public service and doesn't mention American economic inequality. 


",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"This article focuses on state and local tax revenue, not income inequality. 


",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"The article focuses on the political debate surrounding the federal budget and doesn't delve into issues of income inequality or changes in wealth distribution. 


",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"This article focuses on the political debate surrounding a budget deficit reduction plan in the United States. While it mentions taxes and spending, it doesn't delve into the issue of income inequality or wealth distribution. 


Let me know if you have any other articles you'd like me to analyze!",0
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"No, this article focuses on state and local tax revenue and does not discuss income inequality. 


",0
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"The article focuses on the debate surrounding tax cuts and economic policy in the early 1980s, but it doesn't directly address issues of income inequality. 


",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"The article focuses on political maneuvering around tax cuts and spending, not on the underlying issue of income inequality.  While it mentions a desire to help the middle class, it doesn't delve into broader economic disparities. 
",0
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"This article focuses on the political battles surrounding the federal budget and doesn't discuss American economic inequality. 
",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"No, this article does not reference American economic inequality. It focuses on state and local tax collections and per capita spending across different states. 
",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"The article focuses on the impact of proposed budget cuts on a specific city, Milwaukee, and doesn't delve into broader discussions about income inequality in America. 


",0
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"This article focuses on state and local tax collections, providing data on per capita taxes and the percentage of personal income going towards taxes in different states. It doesn't discuss issues related to income inequality or changes in wealth distribution. 


",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"This article focuses on state and local tax collections, providing data on per capita taxes and the percentage of personal income dedicated to taxes. It doesn't discuss issues related to income inequality or changes in wealth distribution. 


",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"The article focuses on the political debate surrounding taxes and the budget, not on issues of income inequality. 


",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No, this article focuses on state and local tax revenue and does not discuss income inequality. 
",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"No, this article focuses on state and local tax revenue and doesn't discuss income inequality or changes in wealth distribution. 
",0
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"This article focuses on state and local tax collections, providing data on per capita taxes and the percentage of personal income dedicated to taxes for each state. It doesn't discuss issues related to income inequality or changes in wealth distribution. 


",0
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"The article focuses on the political maneuvering around the federal budget and doesn't delve into issues of income inequality or changes in wealth distribution. 


",0
