,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"You are correct! The article focuses on budget deficits, spending, and taxes, which are related to general economic conditions but don't directly address issues of income inequality.  

Let me know if you have any other articles you'd like me to classify!",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"You are correct! This article focuses on state and local tax revenue, not income inequality.  

Let me know if you have any other articles you'd like me to analyze.",0
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"This article focuses on state and local tax collections across the US, providing data on per capita taxes and tax burdens as a percentage of personal income. It does not discuss issues related to American economic inequality. 


",0
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"You are correct! The article about state and local tax collections does not reference American economic inequality.  

While it provides data on tax burdens across different states, it doesn't delve into issues of income disparity, wealth distribution, or the social and economic consequences of inequality. 
",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"You are correct! The article focuses on state and local tax collections, providing data on per capita taxes and the percentage of personal income going towards taxes. While this touches on financial matters, it doesn't delve into issues of income inequality or comparative wealth among social classes.  


",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"You are correct! This article focuses on state and local tax burdens across the US, not on issues of income inequality.  

Let me know if you have any other articles you'd like me to analyze.",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"This article focuses on state and local tax collections, providing data on per capita taxes and the percentage of personal income dedicated to taxes for each state. It does not discuss issues related to income inequality, wage gaps, or changes in wealth distribution. 


Therefore, the answer is **no**.",0
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"No, this article focuses on state and local tax revenue and does not discuss income inequality or related issues. 


",0
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"You are correct! This article focuses on state and local tax revenue, not income inequality.  

Let me know if you have any other articles you'd like me to analyze.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"You are correct! This article focuses on state and local tax collections, not income inequality.  

Let me know if you have any other articles you'd like me to classify.",0
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"No, this article does not reference American economic inequality. It focuses on state and local tax collections per capita and as a percentage of personal income across different states in the US. 


",0
