,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, while the article discusses budget deficits, spending cuts, and taxes, it does not explicitly mention distinct economic groups or their relative well-being. 
",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes, because it acknowledges ""large pockets of poverty"" persisting in urban areas despite overall economic growth. 
",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because it discusses Soros's belief that economic and social divisions in the U.S. will deepen due to frustration with capitalism and the cost of rescuing the banking system. 
",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, the article focuses on career advice for public service and mentions desirable skills like language proficiency but doesn't discuss income inequality. 
",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Yes, because it discusses Mondale's criticism of Reaganomics and its impact on different income groups, implying a concern for economic fairness. 
",1
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Yes, because it mentions a potential for a ""more polarized rich-vs.-poor society"" as a result of technological advancements impacting job availability. 
",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, because it discusses how the deficit reduction plan would disproportionately impact different income groups, particularly Medicare recipients and those subject to excise tax increases. 
",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, because it highlights the disproportionate impact of unemployment across different sectors and demographic groups (blue-collar vs. white-collar workers). 
",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Yes, because it discusses tax cuts primarily benefiting businesses over individual taxpayers, which implies a difference in economic outcomes for these groups. 
",1
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, because it discusses a tax plan that raises taxes on higher earners to fund tax breaks for lower and middle-income individuals. 
",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"Yes, because it discusses careers that are ""in growing demand as baby boomers age"" and mentions fields like healthcare and education which often face staffing shortages due to factors like low pay and challenging working conditions. 
",1
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Yes, because it discusses how retirement savings are often insufficient for older workers, highlighting a potential disparity between those who can afford to retire comfortably and those who cannot. 


",1
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes, because it discusses how proposed federal budget cuts will disproportionately impact low-income residents of Milwaukee, particularly through reduced funding for social programs and infrastructure projects. 


",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No, the article focuses on political motivations behind tax cuts at both state and federal levels without explicitly discussing income disparities between different economic groups. 
",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No, while the article discusses economic trends like debt, housing prices, and taxes, it does not explicitly mention or compare the economic well-being of different income groups. 
",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"Yes, because it discusses potential tax increases and their impact on different income groups (specifically mentioning the ""middle-class worker""). 
",1
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No, the article focuses on a proposed constitutional amendment for a balanced budget and its political implications, not on income inequality. 
",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"No, the article focuses on how specific legislators secured tax breaks for industries and individuals within their constituencies, highlighting political influence rather than broader economic disparities. 
",0
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Yes, because it highlights the vast disparity in compensation and perks between CEOs and average employees. 
",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"No, the article focuses on the political debate surrounding the US federal budget deficit and potential tax increases, without mentioning income inequality. 
",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"No, the article focuses on tax policy changes and their potential impact on investment and the economy without directly addressing income disparities between different social groups. 
",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"No, the article focuses on the personal story of one individual's success in accumulating wealth through unconventional methods. 
",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"Yes, because it highlights a program designed to help welfare recipients find jobs that pay an average of $6 an hour, suggesting a disparity in income levels. 
",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"Yes, because it discusses how a recession would disproportionately impact ""working Americans"" and contrasts the Republican focus on economic growth with the Democratic emphasis on issues like education and healthcare. 
",1
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"No, the article focuses on tax policy and budget negotiations without explicitly discussing income disparities between different socioeconomic groups. 
",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"No, the article focuses on workplace safety regulations and their potential impact on businesses, not on broader issues of income inequality. 
",0
26,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"No, the article focuses on America's resilience and stability in the face of tragedy and political division, without mentioning economic inequality. 
",0
27,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Yes, because it mentions a ""hollowed-out middle class"" and slipping behind competitors in math and science, which are indicators of income inequality. 
",1
28,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"No, the article focuses on political appointments and foreign policy within the Reagan administration. 
",0
