,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article focuses on the federal budget deficit, inflation, interest rates, and military spending, without directly addressing issues of income inequality. 
",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes, because it acknowledges that ""large pockets of poverty will continue to dot urban ghettos"". 
",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because it discusses Soros's belief that the Occupy movement highlights widespread disillusionment with capitalism and frustration over the cost of rescuing the banking system. 
",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, the article focuses on career advice for public service and doesn't mention economic inequality. 
",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Yes, because it discusses Mondale's criticism of Reaganomics and its impact on the economy, implying a connection to income inequality. 
",1
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Yes, because it discusses the potential for job losses in certain sectors due to automation and technological advancements, which could exacerbate income disparities. 
",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, because the article discusses a deficit reduction plan that includes tax increases and spending cuts, which disproportionately affect low- and middle-income taxpayers. 
",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, because it discusses how unemployment disproportionately affects certain groups of workers, such as those with low skills, teenagers, and women. 
",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, while the article discusses tax cuts and their potential impact on businesses and individuals, it does not explicitly address issues of income inequality in America. 
",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, because the article discusses a proposed tax cut that aims to benefit middle-class individuals while raising taxes on higher earners. 
",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"No, the article focuses on career advice and trends rather than discussing economic inequality. 
",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"No, the article focuses on the benefits and challenges of working longer in retirement and does not discuss economic inequality. 
",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes, because it discusses how proposed budget cuts would disproportionately impact low-income residents and social programs designed to help them. 
",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No, the article focuses on the political motivations behind tax cuts at both the state and federal level, without discussing their impact on income inequality. 
",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No, while the article discusses economic trends like frugality, bear markets, and high energy prices, it does not explicitly address income inequality. 
",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"Yes, because the article discusses the potential impact of tax increases on different income groups, implying a concern for economic disparity. 
",1
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No, the article focuses on the political debate surrounding a constitutional amendment to balance the federal budget, not on income inequality. 
",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"Yes, because the article highlights how legislators use their power to benefit specific industries and wealthy individuals, potentially exacerbating economic disparities. 
",1
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Yes, because it highlights the vast disparity between CEO compensation and perks compared to the average worker's experience. 
",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"No, the article focuses on the political debate surrounding the US budget deficit and potential tax increases, not on income inequality. 
",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"No, the article focuses on tax policy changes and their potential impact on investment and the economy, without addressing issues of income inequality. 
",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"No, the article focuses on the personal story of an individual who achieved wealth through unconventional methods and does not discuss broader societal issues of economic inequality. 
",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"Yes, because it highlights the state's efforts to collect back taxes from wealthy yacht owners, suggesting a disparity in wealth distribution. 
",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"No, while the article discusses the economy and a potential recession, it does not mention income inequality or wealth distribution. 
",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"No, the article focuses on tax increases and budget deficits, not income inequality. 
",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"No, the article focuses on the debate surrounding new ergonomic regulations and their potential costs to businesses, not on income inequality. 
",0
26,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"No, the article focuses on America's resilience and stability in the face of tragedy and political division, not economic inequality. 
",0
27,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Yes, because the article mentions a ""hollowed-out middle class"" as part of the economic challenge facing the US. 
",1
28,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"Yes, because it mentions the US government facing a potential $100 billion deficit and ""the accelerating deterioration of the economy"". 
",1
29,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"No, the article focuses on the instability and risks within the financial system, particularly related to subprime mortgages and credit default swaps. 
",0
30,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"Yes, because the article explicitly states that growing income inequality is the cause of Social Security's long-term financing problem. 
",1
31,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"No, the article focuses on a proposed gas tax increase and its potential impact on individual driving costs rather than addressing broader issues of income inequality. 
",0
32,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"Yes, because the article discusses policies related to unemployment insurance, mortgage help, and tax cuts, which are all issues that can impact income inequality. 
",1
33,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"Yes, because it discusses the financial challenges faced by retirees, highlighting potential disparities in retirement income and living standards. 
",1
34,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,"No, the article focuses on the overall strength and drivers of the economic recovery without mentioning income inequality. 
",0
35,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,"No, while the article discusses the impact of a tax cut on consumer spending across different income levels, it does not explicitly address issues of economic inequality in America. 
",0
36,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,"No, because the article focuses on proposed changes to tax laws and their impact on various groups and financial activities, not on broader societal issues like income inequality. 
",0
37,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,"Yes, because the article discusses Perot's plan to raise taxes on social security benefits for those earning over $130,000 per year and limit tax deductions on home mortgages to the first $250,000, which would disproportionately affect wealthier Americans. 
",1
38,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,"No, the article focuses on the Bush administration's economic policies aimed at increasing productivity and investment rather than addressing income inequality. 
",0
39,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,"No, the article focuses on changes in unemployment rates across different cities without discussing income distribution or wealth disparities. 
",0
40,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,"No, the article focuses on general economic conditions like consumer spending, business investment, and the potential for a double-dip recession. 
",0
41,A double-edged summer surprise,1992,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),75,"No, the article focuses on factors driving a potential economic recovery, such as government spending, tax breaks, and increased money supply, without mentioning income inequality. 
",0
42,A fair question,2000,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",76,"Yes, because it discusses the impact of different tax policies on income distribution and the potential for government redistribution of wealth. 
",1
43,A gaggle of New Year's guesses,1987,Dec,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",78,"No, the article focuses on predictions for various aspects of life in 1988 from different individuals but does not address income inequality. 
",0
44,A kind word for taxes,1986,Jul,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),80,"No, the article focuses on the societal value of taxes and doesn't directly address issues of income inequality. 
",0
45,A leap of faith--into the abyss perhaps?,2001,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),81,"Yes, because the article discusses how the tax cut will disproportionately benefit wealthier Americans who will see a larger impact over time. 
",1
46,A message to conservatives,1983,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",82,"Yes, because the article mentions that ""ordinary Americans keep a larger share of their earnings"" implying a potential disparity in income distribution. 
",1
47,A most debated issue,1985,Jul,Time,1,6.67,"relinequality, explicit",83,"Yes, because it discusses how illegal immigration affects wages for both low-skilled Americans and those in higher-paying jobs. 
",1
48,A nation divided,1999,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",84,"Yes, because the article explicitly discusses the widening gap between the rich and poor in America, citing statistics on income and wealth distribution. 
",1
49,A new divide between haves and have-nots?,1995,Spring,Time,1,6.67,"relinequality, explicit",86,"Yes, because the article discusses how access to computers and the internet is unequally distributed along class lines, potentially widening the gap between rich and poor. 
",1
50,A new-style recession,2002,Apr,U.S. News & World Report v. 132 no. 12 (April 15 2002) p. 30-2,1,6.67,"relinequality, explicit",87,"Yes, because the article highlights how different income groups were affected by the recession, noting that wealthy individuals experienced significant financial losses while consumer spending remained relatively stable. 
",1
51,A paycheck revolt in '96?,1996,Feb,Newsweek,1,1.0,"relinequality, explicit",89,"Yes, the article explicitly discusses the widening gap between rich and poor in America, citing statistics on income growth disparities across different education levels and income brackets. 
",1
52,A plumper nest egg,2002,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),90,"No, the article focuses on retirement savings vehicles and tax incentives, not broader issues of income inequality. 
",0
53,A question of confidence,2001,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),92,"No, the article focuses on macroeconomic trends like the slowdown in economic growth, investment, and consumer spending without mentioning income inequality. 
",0
54,A radical plan for tax reform,1986,May,Newsweek,1,6.67,"relinequality, explicit",93,"Yes, because it discusses how the proposed tax plan would disproportionately benefit lower-income Americans while potentially impacting higher earners negatively. 
",1
55,A swampful of troubles,1983,Apr,U.S. News & World Report,2,6.67,"relinequality, implicit",98,"No, the article focuses on President Reagan's political challenges and foreign policy issues rather than domestic economic inequality. 
",0
56,A tale of two Austins,2000,Feb,U.S. News & World Report,1,1.0,"relinequality, explicit",99,"Yes, because the article highlights the widening wealth gap between Austin's tech elite and its working and middle class population. 
",1
57,A taxing change,2000,Jul,Time,1,6.67,"relinequality, explicit",100,"Yes, because the article discusses how changes to estate tax and capital gains tax would disproportionately benefit wealthy individuals. 
",1
58,A time to celebrate,2000,Jul,U.S. News & World Report,1,6.67,"relinequality, explicit",101,"Yes, the article acknowledges income inequality but argues that it is not inherently unjust due to the prevalence of equal opportunity. 
",1
59,AMERICA THE ANXIOUS.,2012,Aug,Newsweek,1,6.67,"relinequality, explicit",105,"Yes, the article discusses income inequality by highlighting the struggles of the middle class and working poor compared to the growing wealth of the top 1%. 
",1
60,Abolish the IRS? Dream on,1997,Oct,Newsweek,1,6.67,"relinequality, explicit",106,"Yes, because it discusses how different tax proposals would affect various groups, including homeowners and the wealthy, implying a consideration of income disparities. 
",1
61,Adventures in equities/World of Business,1992,Feb,Time,4,10.0,"releconomy (employment, economy)",108,"No, the article focuses on global stock market performance and does not discuss income inequality within the United States. 
",0
62,Affirmative Inaction?,1995,Jun,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),109,"Yes, because the article discusses affirmative action, which is often seen as a policy aimed at addressing economic disparities between racial groups. 
",1
63,After You! We Insist!,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),111,"Yes, because the article discusses potential tax increases on alcohol, cigarettes, energy, gasoline, and income, which would disproportionately affect lower-income individuals. 
",1
64,After the Plant Closed Down,2009,May,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),112,"Yes, because the article highlights the significant drop in annual income experienced by the author's family after the cement factory closure, illustrating the vulnerability of working-class families to economic shocks. 
",1
65,After the meltdown of '87,1987,Nov,Newsweek,2,6.67,"relinequality, implicit",113,"No, the article focuses on the causes and consequences of the 1987 stock market crash, not on issues of economic inequality. 
",0
66,After the storm passes,1999,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),114,"Yes, because the article discusses how slowing down trade would negatively impact American workers, implying a concern for their economic well-being. 
",1
67,America the open,1995,Jul,Newsweek,1,1.0,"relinequality, explicit",119,"Yes, because the article discusses the concentration of wealth and power among a ""new class"" of managers and professionals, implying an unequal distribution of economic resources. 
",1
68,America's Bull Run: Can We Keep It Going?,2008,Jan,U.S. News & World Report,1,6.67,"relinequality, explicit",120,"Yes, the article briefly mentions concerns about growing economic inequality and suggests that a larger economy could provide more resources for addressing it. 
",1
69,America's Dumbest Budget Cut.,2011,Jul,Newsweek,4,6.67,"releconomy (employment, economy)",121,"No, the article focuses on the debate surrounding US military spending and troop withdrawal from Afghanistan and Iraq. 
",0
70,America's Next Stimulus Plan,2009,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",122,"No, the article focuses on potential future stimulus packages and their impact on unemployment and economic growth, not income inequality. 
",0
71,America's scandalous health care: here's how to fix it,1990,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",123,"Yes, because the article highlights how healthcare costs disproportionately affect low-income Americans and small businesses, exacerbating existing economic inequalities. 


",1
72,America--at ease with computers,1986,Feb,U.S. News & World Report v. 100 (February 17 1986) p. 72,4,6.67,"releconomy (employment, economy)",124,"No, the article focuses on American attitudes towards computers and technology, not economic inequality. 
",0
73,Americans Bet on International Funds,1985,Aug,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),125,"No, the article focuses on investment trends in international funds and does not discuss income inequality within the United States. 
",0
74,An Economic Feud at the White House,1983,Oct,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),129,"No, the article focuses on the debate surrounding budget deficits and their impact on interest rates, not income inequality. 
",0
75,An Election-Year Tax Increase?,1982,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),130,"No, the article focuses on proposed tax increases to address budget deficits and control interest rates, not on income inequality. 
",0
76,An Implausible Populist.,2011,Oct,Time,2,6.67,"relinequality, implicit",132,"Yes, because the article discusses the Occupy Wall Street movement's grievances against Wall Street for its role in exacerbating economic inequality. 
",1
77,An Oil Tax Makes Sense,1987,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),133,"No, the article focuses on the economic benefits of an oil tax, primarily discussing its impact on budget deficits and energy security. 
",0
78,An agenda bedeviled by the deficit,1993,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),134,"No, the article focuses on President Clinton's economic policies, particularly tax changes aimed at stimulating the economy and reducing the deficit. 
",0
79,An early Christmas at Chrysler,1985,Nov,Time,2,6.67,"relinequality, implicit",135,"Yes, because it highlights the wage concessions Chrysler workers made during the company's financial crisis and their subsequent fight for higher wages to regain parity with Ford and GM workers. 
",1
80,"And Now, the Spoils Society",1985,Dec,Newsweek,1,10.0,"relinequality, explicit",137,"Yes, because the article discusses how wealth redistribution through legal battles and corporate maneuvering can exacerbate economic inequality rather than promoting broader prosperity. 
",1
81,"And now, a domestic summit",1985,Dec,Newsweek,2,6.67,"relinequality, implicit",138,"No, the article focuses on budget deficits, tax reform, and government spending, not income inequality. 
",0
82,Anguish of the jobless,1982,Jan,Time,2,6.67,"relinequality, implicit",139,"Yes, because it discusses the psychological toll of unemployment on individuals, highlighting how joblessness can lead to feelings of worthlessness and powerlessness, which are often exacerbated by societal attitudes towards work and idleness. 
",1
83,Are We Broke Yet?,2009,Sep,Time,4,6.67,"releconomy (employment, economy)",142,"No, the article focuses on the size of the US deficit and its potential impact, not on income inequality. 
",0
84,Are raises bad for America?,1999,Aug,U.S. News & World Report,2,6.67,"relinequality, implicit",143,"Yes, because it discusses how companies are struggling to find skilled workers while simultaneously facing pressure to keep wages down due to competitive pressures. 
",1
85,As for investments ,1986,May,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),146,"No, the article focuses on the potential impact of tax reform on different investment strategies rather than addressing issues of economic inequality. 
",0
86,"As unemployment rises, so do benefit frauds",1982,May,U.S. News & World Report v. 92 (May 31 1982) p. 72-3,2,6.67,"relinequality, implicit",148,"Yes, because the article discusses how unemployment benefit fraud disproportionately affects employers who fund the benefits through payroll levies, highlighting a potential economic disparity between those receiving benefits and those funding them. 
",1
87,Asian Wisdom,2010,Dec,Newsweek,4,6.67,"releconomy (employment, economy)",149,"No, the article focuses on broader economic issues like government intervention, taxation, and debt rather than specifically addressing income inequality within the US. 
",0
88,At last: prices go into reverse,1982,May,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",150,"No, the article focuses on inflation and price changes, not income distribution or wealth disparities. 
",0
89,Attack!The Truth About Obamacare,2009,Aug,Newsweek,4,6.67,"releconomy (employment, economy)",151,"Yes, because the article discusses how fear of losing what one has (even if it's less than great) outweighs the hope of getting something better, which speaks to anxieties around economic security and potential downward mobility. 
",1
90,Avoiding a Deep Recession,2008,Oct,U.S. News & World Report v. 145 no. 9 (October 27 2008) p. 92,3,6.67,relchanges (income/wages/earnings/etc.),153,"No, the article focuses on the causes and potential solutions to the financial crisis of 2008, not on income inequality. 
",0
91,Baby boomers come of age,1981,Mar,Newsweek,1,6.67,"relinequality, explicit",154,"Yes, because it discusses how the baby boom generation faces depressed wages and competition for jobs and housing, highlighting income disparities. 
",1
92,Back into the tax maze,1997,Aug,Time,1,10.0,"relinequality, explicit",157,"Yes, because the article discusses tax breaks for specific groups like ""middle-class parents sending kids to college"" implying a disparity in access to these benefits. 
",1
93,Back to business,2001,Dec,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),159,"No, the article focuses on hiring trends and the shift towards a service-based economy, without mentioning income inequality. 
",0
94,Bad tidings for big labor,1981,Jan,Newsweek,2,6.67,"relinequality, implicit",160,"Yes, because it discusses the potential impact of conservative policies on labor unions and wages, which are key factors related to economic inequality. 
",1
95,Balancing the Budget - Congress Has Its Own Ideas,1980,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",162,"No, the article focuses on budget balancing proposals and potential cuts to government programs, not on issues of income inequality. 
",0
96,Bankruptcy as an escape hatch,1984,Mar,Time,2,6.67,"relinequality, implicit",163,"Yes, because the article discusses how corporations can use bankruptcy to cancel union contracts, potentially leading to wage cuts and layoffs which disproportionately affect lower-income workers. 
",1
97,Be our guest,2001,May,U.S. News & World Report,1,6.67,"relinequality, explicit",166,"Yes, because the article discusses how the US economy relies on immigrant workers for jobs that many Americans won't take. 
",1
98,Bearer of Bad Tidings,1983,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),167,"No, the article focuses on the federal budget deficit and potential solutions like tax increases and spending cuts. 
",0
99,Before the party starts,2001,Feb,U.S. News & World Report,1,6.67,"relinequality, explicit",169,"Yes, because it points out that the wealthiest Americans will benefit disproportionately from the proposed tax cuts while lower-income earners receive a smaller share of the benefits. 
",1
100,"Behind Gains in On-the-Job Health, Safety",1984,Jun,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",170,"No, the article focuses on workplace safety trends and does not discuss income inequality or wealth distribution. 
",0
101,Bentsen on the burner,1993,Jun,Time,2,6.67,"relinequality, implicit",172,"Yes, because it discusses cuts to Medicare, which disproportionately affect lower-income Americans. 
",1
102,Best Careers,2008,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",173,"No, the article focuses on career paths and median salaries without addressing income distribution or economic disparity. 
",0
103,Bidding War for Tax Votes,1981,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),176,"Yes, because it discusses a tax cut plan that disproportionately benefits higher-income earners (through indexing to inflation and estate tax exemptions) while also mentioning cuts to social security benefits for low-income seniors. 


",1
104,Big Brown's union blues: the UPS strike reflects wide worry about part-time jobs,1997,Aug,Newsweek,1,6.67,"relinequality, explicit",177,"Yes, because the article discusses the growing disparity between full-time and part-time workers at UPS, highlighting concerns about the quality of job creation and wage stagnation for lower-tier employees. 
",1
105,"Big Families can be happy, too",1985,Jan,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),179,"No, the article focuses on the social perceptions and personal experiences of raising a large family, not on economic inequality. 
",0
106,Big Government to the Rescue,2008,Sep,Newsweek v. 152 no. 13 (September 29 2008) p. 22-3,3,6.67,relchanges (income/wages/earnings/etc.),180,"No, the article focuses on the government's response to a financial crisis and doesn't discuss income inequality. 
",0
107,Big Guys Win Again. This Is Tax Reform?,2005,Nov,Newsweek,1,1.0,"relinequality, explicit",181,"Yes, because the article argues that proposed tax reforms would disproportionately benefit wealthy individuals with investments at the expense of those who primarily own homes. 
",1
108,Big Worker Blues,2004,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",182,"Yes, because it discusses how IBM employees are facing job losses and benefit cuts despite the company's strong financial performance, highlighting a potential disparity between corporate profits and worker well-being. 
",1
109,Biz blahs and blame,2001,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",185,"No, the article focuses on how companies are blaming the September 11th attacks for poor earnings rather than addressing underlying business issues. 
",0
110,Blame the deficit on excessive government spending,1991,Aug,U.S. News & World Report,2,6.67,"relinequality, implicit",187,"No, the article focuses on government spending, tax cuts, and budget deficits without mentioning income inequality. 
",0
111,Blessed Is the Full Plate,2007,Nov,Newsweek,1,6.67,"relinequality, explicit",188,"Yes, the article explicitly mentions the growing income gap in America, citing that the top 1% hold a share of national income not seen since 1928. 
",1
112,Blowing off some steam,1988,May,Time,1,6.67,"relinequality, explicit",189,"No, the article focuses on inflation and the Federal Reserve's efforts to control it through interest rate adjustments. 
",0
113,Bob Dole's old growth theory,1996,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),192,"No, while the article discusses economic growth and policy proposals, it does not directly address issues of income inequality or wealth distribution. 
",0
114,Bob Reich's job market,1994,Mar,Newsweek,1,6.67,"relinequality, explicit",193,"Yes, because the article highlights the disparity in wage growth between the US and Europe, suggesting income inequality within the US. 
",1
115,Boiling Tea,2010,Nov,Time,3,6.67,relchanges (income/wages/earnings/etc.),195,"No, the article focuses on political shifts within the Republican party and potential legislative gridlock rather than economic inequality. 
",0
116,Bombarding Reagan's Budget,1984,Feb,Time,3,10.0,relchanges (income/wages/earnings/etc.),196,"No, the article focuses on the size of the federal deficit and potential solutions, not income inequality. 
",0
