,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No

The article focuses on the federal budget deficit, interest rates, inflation, and potential spending cuts, without directly addressing issues of income inequality or disparities among social classes. 
",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes

The article mentions ""gaps in the economy's beneficence"" and ""large pockets of poverty,"" indicating a disparity in economic well-being among different social groups. 
",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes

The article discusses Soros's belief that economic and social divisions in the U.S. will deepen due to frustration with capitalism and the cost of rescuing the banking system. 
",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No

The article focuses on career advice for public service jobs and mentions desirable skills but does not discuss income inequality, its causes, or solutions. 
",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Yes

The article discusses Mondale's criticism of Reaganomics and its impact on income inequality, highlighting the need for fairness and potentially increased taxes to address economic disparities. 
",1
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Yes

The article discusses how technology and automation are impacting different job sectors, which can lead to income inequality as some jobs become obsolete while others require higher skills. 
",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes

The article discusses a deficit reduction plan that includes tax increases and spending cuts, which disproportionately affect low- and middle-income taxpayers, highlighting potential economic inequality. 
",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes

The article discusses unemployment rates across different social class groups (blue-collar, white-collar, service workers) which is a clear indicator of economic inequality. 
",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Yes

The article discusses a proposed tax cut that would disproportionately benefit businesses over individual taxpayers, which is a relevant factor in discussions about economic inequality. 
",1
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"No

The article focuses on proposed tax cuts and incentives without explicitly discussing income inequality or its causes and solutions. 
",0
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"No

The article focuses on career advice and does not discuss income inequality, wage gaps, or related socioeconomic issues. 
",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"No

The article focuses on the benefits and challenges of working longer in retirement, not on income inequality. 
",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes

The article discusses how proposed federal budget cuts would disproportionately impact Milwaukee's poor and working class, highlighting the potential exacerbation of economic inequality. 
",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No

The article focuses on tax cuts at both the state and federal level, discussing their political motivations and potential economic impacts but doesn't delve into issues of income or wealth disparity among different social classes. 
",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No

The article discusses broader economic trends like frugality, bear markets, volatility, high energy prices, and higher taxes but doesn't delve into wage gaps, income disparities, or comparative language between social classes. 
",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"Yes

The article discusses potential tax increases and their impact on different social classes, which relates to economic inequality. 
",1
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No

The article focuses on a proposed constitutional amendment to balance the federal budget and does not discuss wage gaps, income disparities, or comparative language between social classes. 
",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"Yes

The article highlights how specific tax breaks benefit certain industries and individuals, potentially exacerbating income inequality by favoring some groups over others. 
",1
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Yes

The article discusses CEO compensation packages and perks, highlighting the vast disparity between executive pay and the average worker's income, which is a key indicator of economic inequality. 
",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"No

The article focuses on the political maneuvering surrounding the federal budget deficit and potential tax increases, without addressing issues of income inequality or wealth distribution. 
",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"No

The article focuses on tax policy changes and their potential impact on investment and the economy, without discussing income inequality or disparities among social classes. 
",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"No

The article focuses on the personal story of an individual who achieved wealth through unconventional methods and doesn't discuss broader issues of income inequality in the United States. 
",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"Yes

The article discusses income inequality by highlighting the disparity between wealthy yacht owners who evade sales taxes and welfare recipients who rely on government assistance programs like ET. 
",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"No

The article focuses on the potential impact of a recession on the 2008 presidential election and does not discuss wage gaps, income distribution, or social class disparities. 
",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"No

The article focuses on a political debate surrounding tax increases and spending cuts, without directly addressing issues of income inequality or wealth distribution. 
",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"No

The article focuses on workplace safety regulations and their potential costs to businesses, without addressing issues of income inequality, causes/solutions related to it, or comparative language between social classes. 
",0
26,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"No

The article focuses on America's societal resilience and stability in the face of tragedy and political division, without mentioning economic inequality. 
",0
27,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Yes

The article discusses the decline of the American middle class (""a hollowed-out middle class"") which is a direct indicator of income inequality. 
",1
28,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"No

The article focuses on political appointments and international relations during the Reagan administration, without mentioning economic inequality within the United States. 
",0
29,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"No

The article focuses on the subprime mortgage crisis and its impact on the financial system, without discussing income inequality, causes of inequality, or comparative language between social classes. 
",0
30,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"Yes

The article explicitly discusses growing income inequality as a cause for Social Security's funding problems and proposes raising taxes on high earners to address the issue. 
",1
31,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"No

The article focuses on a proposed gas tax increase and its potential impact on individual drivers, without discussing broader issues of income inequality or wealth distribution in America. 
",0
32,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"Yes

The article discusses policies related to unemployment insurance, mortgage help, and tax cuts, which can impact different social class groups and contribute to economic inequality. 
",1
33,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"Yes

The article discusses retirement prospects for average Americans, highlighting potential income shortfalls and the need for frugal living, which implicitly touches on issues of income inequality and financial disparities among different social classes. 
",1
34,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,"No

The article focuses on the overall strength and drivers of the US economic recovery, without delving into issues of income distribution or disparities among social classes. 
",0
35,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,"Yes

The article discusses the impact of a tax cut on different income groups, highlighting how much various individuals will save based on their earnings, which relates to economic inequality. 
",1
36,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,"No

The article focuses on proposed tax changes and their impact on various groups but doesn't explicitly discuss income inequality or its causes/solutions. 
",0
37,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,"Yes

The article discusses Perot's deficit plan which includes tax increases on social security benefits for those making over a certain amount and limiting deductions on home mortgages, implying a focus on wealth distribution and potentially impacting different income groups. 
",1
38,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,"No

The article focuses on the Bush administration's economic policies aimed at increasing productivity and investment, without directly addressing issues of income inequality or wage disparities among social classes. 
",0
39,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,"No

The article focuses on changes in unemployment rates across different cities but doesn't discuss wage gaps, income distribution, or policy solutions related to economic inequality. 
",0
40,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,"No

The article focuses on general economic conditions like consumer spending, business investment, and stock market performance without addressing income inequality or its causes/solutions. 
",0
41,A double-edged summer surprise,1992,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),75,"No

The article focuses on macroeconomic indicators like consumer sentiment, government spending, and monetary policy, without addressing income distribution or social class disparities. 
",0
42,A fair question,2000,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",76,"Yes

The article discusses the impact of different tax policies on income distribution among various social classes, a key indicator of economic inequality. 
",1
43,A gaggle of New Year's guesses,1987,Dec,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",78,"No

The article consists of predictions from various individuals about events in the coming year and does not discuss income inequality, its causes, solutions, or comparisons between social classes. 
",0
44,A kind word for taxes,1986,Jul,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),80,"No

The article discusses the importance of taxes for societal well-being but doesn't mention wage gaps, income disparities, or comparative language between social classes. 
",0
45,A leap of faith--into the abyss perhaps?,2001,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),81,"Yes

The article discusses the impact of tax cuts on different income groups, implying a consideration of economic inequality. 
",1
46,A message to conservatives,1983,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",82,"Yes

The article discusses how ""ordinary Americans keep a larger share of their earnings"" which implies a discussion of income distribution and potentially economic inequality. 
",1
47,A most debated issue,1985,Jul,Time,1,6.67,"relinequality, explicit",83,"Yes

The article discusses how illegal immigration affects wages for different groups of workers, including a comparison between unskilled Americans and illegal immigrants, which is a key indicator of economic inequality. 
",1
48,A nation divided,1999,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",84,"Yes

The article discusses wage gaps between different sectors of the economy, the concentration of wealth among the top 20%, and the declining after-tax incomes of the bottom fifth of Americans, all of which are indicators of economic inequality. 
",1
49,A new divide between haves and have-nots?,1995,Spring,Time,1,6.67,"relinequality, explicit",86,"Yes

The article discusses the disparity in computer access between wealthy and poor Americans, highlighting how this technological gap exacerbates existing economic inequalities. 
",1
50,A new-style recession,2002,Apr,U.S. News & World Report v. 132 no. 12 (April 15 2002) p. 30-2,1,6.67,"relinequality, explicit",87,"Yes

The article discusses how different social classes were affected by the recession, highlighting that while consumers continued spending, businesses cut jobs and profits suffered, impacting various income levels. 
",1
51,A paycheck revolt in '96?,1996,Feb,Newsweek,1,1.0,"relinequality, explicit",89,"Yes

The article discusses wage stagnation for most Americans, the widening gap between rich and poor, and the impact of these trends on voting behavior. 
",1
52,A plumper nest egg,2002,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),90,"No

The article focuses on retirement savings plans and tax incentives, not on issues of income inequality, its causes, or solutions. 
",0
