,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on budget deficits, interest rates, and government spending without mentioning specific groups or classes affected by these issues.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes, because the article mentions ""gaps in the economy's beneficence"" and specifically highlights that ""large pockets of poverty will continue to dot urban ghettos"" despite overall economic growth.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because the article mentions Soros's sympathy with the Occupy movement, which articulates a widespread disillusionment with capitalism and highlights issues of unemployment and wealth distribution in the US.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, because the article discusses college majors, public sector jobs, and skills required for certain careers, without mentioning income inequality or wealth disparities in the US economy.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, the article does not explicitly reference American economic inequality, but it discusses tax increases, deficit-cutting, and fairness as an issue, which are related to economic inequality.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Yes, because the article mentions a potential ""polarized rich-vs.-poor society"" in response to a question about the impact of technological changes on job demand.",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, because the article mentions that the burden of the deficit reduction plan would fall on low- and middle-income taxpayers, while the wealthy would receive tax breaks, highlighting concerns about fairness and equity in the distribution of the economic burden.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"No, the article does not explicitly reference American economic inequality, but it discusses unemployment rates and joblessness among different demographic groups, which can be related to issues of economic inequality.",0
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Yes, because the article discusses tax cuts and policies that benefit specific economic groups, such as businesses and individuals, which can have redistributive consequences and impact economic inequality.",1
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, because the article mentions a ""middle-class tax cut"" and a proposal to raise the top tax rate to 35% for individuals with taxable income over $85,000, implying a focus on reducing economic inequality between different income groups.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"Yes, the article references American economic inequality by mentioning that some careers may be more resistant to offshoring and have better job security, implying a divide between those who have access to these opportunities and those who do not.",1
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Yes, the article references American economic inequality by mentioning the growing trend of older workers choosing to continue working due to financial necessity, implying that many individuals may not have sufficient savings for retirement.",1
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes, because the article mentions that Milwaukee has 30% of the state's poverty despite having only 13% of the population, implying a disproportionate concentration of poverty in the city.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No, because while the article discusses tax cuts and their potential impact on the economy, it does not explicitly mention income or wealth inequality between different groups of people.",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No, the article does not explicitly reference American economic inequality, as it focuses on the broader economic conditions and trends without mentioning specific groups or hierarchical relations.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on the tax debate between Ronald Reagan and Walter Mondale during the 1984 presidential campaign.",0
