,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article is primarily focused on the US federal budget deficit, interest rates, and economic recovery, rather than income inequality or wealth distribution issues.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"No, because while the article mentions poverty and destitute individuals, it primarily focuses on the overall positive economic outlook for 1985, with only brief mentions of economic disparities.",0
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because the article discusses George Soros's warnings about economic instability, riots on the streets of American cities, and the need for greater taxation of the rich, which are all related to issues of income inequality in America.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, because the article discusses career development and job opportunities in the public sector, without mentioning income inequality or wealth disparities.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, the article is not directly related to American economic inequality, but rather focuses on the political debate around taxation and deficit reduction during the Reagan presidency.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"No, because while the article discusses changes in the workforce and job market due to technology and globalization, it does not specifically focus on income inequality or wealth disparities in America.",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, because the article discusses a budget plan that would raise taxes on the affluent and cut spending on programs that benefit low- and middle-income Americans, highlighting concerns about fairness and distribution of burden.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, because the article discusses high unemployment rates, particularly among certain demographics such as blue-collar workers, service workers, and farm workers, which can contribute to income inequality.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, because the article primarily focuses on tax cuts, economic growth, and industrial productivity, without explicitly discussing income or wealth disparities among Americans.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, because the article discusses a tax-cut bill that aims to provide relief to middle-class individuals and families, while increasing taxes for high-income earners, which is a policy issue related to income inequality.",1
