,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, because the article primarily focuses on the federal budget deficit, interest rates, and inflation, without explicitly mentioning income or wealth inequality in the US.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"No, because while the article mentions poverty and destitution, it does not explicitly discuss income or wealth inequality among Americans.",0
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because the article mentions Soros's sympathy with the Occupy movement, which articulates a widespread disillusionment with capitalism and references issues of unemployment and debt in the US.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, because the article does not mention income inequality, changes in income or wealth, or general economic conditions in the US, but rather focuses on college majors and skills for public sector jobs.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, because while the article discusses economic issues like taxes, deficits, and Reaganomics, it does not specifically mention income or wealth inequality in the US.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"No, because while the article discusses changes in the workforce and technology's impact on jobs, it does not explicitly mention income inequality or wealth disparities in the United States.",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, because the article mentions that the burden of the deficit reduction plan would fall on low- and middle-income taxpayers, highlighting concerns about fairness and equity in the distribution of the tax burden.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, because the article discusses the impact of unemployment on different demographic groups, such as white-collar workers, blue-collar workers, service workers, and farm workers, which implies a discussion of economic inequality among these groups.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, because while the article discusses tax cuts, economic growth, and recession, it does not explicitly mention income or wealth inequality in the United States.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, because the article mentions a tax cut bill that aims to provide relief to middle-class individuals and raises taxes on the wealthy, implying concerns about economic inequality.",1
