,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"Relevant: The article discusses how the personal exemption amount of $1,000 is insufficient to cover basic living costs, highlighting the disconnect between the tax code and the reality of inflation and rising living expenses, which contributes to economic inequality.",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"Relevant: The article discusses budget deficits, interest rates, and potential cuts to social-welfare benefits, which can have implications for income inequality and wealth distribution in the United States.",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Relevant, because although the article primarily focuses on the overall positive economic outlook for 1985, it also mentions ""gaps in the economy's beneficence"" and specifically highlights the continued existence of poverty and economic stress for certain groups, such as farmers and the destitute.",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"Irrelevant, because the article primarily discusses Rush Limbaugh's views on the Oklahoma City bombing and political blame-shifting, with no mention of income inequality or economic issues.",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"Irrelevant, because the article primarily focuses on the author's personal experience with tax returns and interactions with the IRS, without discussing or addressing issues related to income inequality or wealth distribution in America.",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"Irrelevant, because the article focuses on a group of ""hacktivists"" planning to disrupt the Republican National Convention electronically, with no mention of income inequality or economic conditions.",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Relevant: The article discusses George Soros's warnings about a potential collapse of the financial system, riots on the streets of American cities, and a decline in civil liberties, which are all related to issues of income inequality and economic instability in America.",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"Irrelevant, because the article focuses on career development and job skills in the public sector, without mentioning income inequality or economic disparities.",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"Irrelevant, because the article primarily focuses on xenophobia, racism, and immigration issues in Spain, with no direct connection to American economic inequality.",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"Irrelevant, because while the article mentions the economy and domestic issues, it primarily focuses on the political debate surrounding the Iraq war and its impact on the 2002 congressional elections, rather than specifically addressing income inequality or wealth disparities in America.",0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"Irrelevant, because the article focuses on a civil rights issue related to the deaf community and does not mention income, wealth, or general economic conditions.",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Relevant, because the article discusses tax increases and deficit-cutting measures, which are related to issues of income inequality and general economic conditions.",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Relevant, because although the article primarily focuses on the future of work and technology's impact on various industries, it touches on issues related to income inequality, such as the potential polarization of rich vs. poor society and the need for workers to adapt their skills to remain competitive.",1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Relevant: The article discusses a budget plan that would raise taxes on the affluent and cut spending on programs that benefit low- and middle-income Americans, highlighting concerns about fairness and distribution of burden in addressing the national deficit.",1
14,10 Questions for Andrew Stern,2005,Aug,Time,5,6.67,irrelevant,15,"Relevant, because the article discusses labor unions, worker rights, and the impact of globalization on jobs, which are all related to issues of income inequality and economic conditions in America.",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"Irrelevant, because the article is an interview with William F. Buckley Jr., a conservative thinker, and does not discuss issues related to income inequality, changes in income or wealth, or general economic conditions in America.",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Relevant: The article discusses high unemployment rates, particularly among certain demographics such as blue-collar workers and those in specific industries, which is a key indicator of economic inequality.",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"Irrelevant, because the article discusses historical events in Europe in 1848 and their parallels with recent uprisings in North Africa and the Middle East, without mentioning American economic inequality.",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Relevant: The article discusses tax cuts and reforms that could impact income inequality by benefiting businesses and the wealthy more than individual taxpayers, which is a key aspect of American economic inequality.",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"Irrelevant, because the article appears to be a collection of quotes from various individuals in 1983, with no specific focus on American economic inequality.",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"Irrelevant, because although the article mentions lottery winners and their decisions about sharing their winnings, it does not provide any substantial information or insights about income inequality or economic conditions in America.",0
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Relevant, because the article discusses a tax-cut bill that aims to provide relief to middle-class individuals and families, while increasing taxes for high-income earners, which is related to issues of income inequality.",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"Relevant: The article discusses various high-growth job tracks and their corresponding salaries, which can be seen as a reflection of the widening income gap and unequal distribution of wealth in the American economy.",1
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"Relevant: The article discusses career guidance and job market trends, which can have implications for social mobility and economic inequality in America, particularly if certain careers are inaccessible to certain demographics or socioeconomic groups.",1
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Relevant: The article discusses how working longer can help individuals maintain their income and wealth, which is particularly important for Americans who may not have enough savings for retirement, a issue that disproportionately affects low-income and minority communities.",1
25,7. Working may add Meaning to your later life,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,26,"Irrelevant, because the article focuses on the motivations and benefits of older workers continuing to work beyond traditional retirement age, without discussing income inequality or wealth disparities in the US economy.",0
26,A Can-Do Nation,2007,Apr,Time,5,6.67,irrelevant,27,"Relevant, because the article mentions ""growing income inequality"" as one of the problems facing America that needs to be addressed through a new narrative and collective action.",1
