,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article does not reference American economic inequality. It discusses budget deficits, interest rates, and inflation, but it does not specifically address issues of income or wealth distribution among different groups in society.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes, the article mentions that large pockets of poverty will continue to dot urban ghettos, mainly out of sight and out of mind of much of the middle class that escaped to the suburbs and beyond.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, the article references American economic inequality by discussing the budget and tax policies that affect different segments of the population, such as the minimum wage, prescription drug benefits for Medicare recipients, and tax breaks for small businesses.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, this article does not reference American economic inequality. It discusses the skills and majors required for public sector jobs and how to make oneself more marketable in that field, but it does not touch on issues of income or wealth disparity.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, the article does not reference American economic inequality. It primarily discusses politics and the budget, with a focus on the Democratic and Republican parties' strategies and proposals, but it does not specifically address issues of income or wealth distribution.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"No, this article does not reference American economic inequality. It discusses the future of work and technology's impact on jobs, but it does not specifically address issues related to income or wealth disparities in the United States.",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, the article references American economic inequality in that it discusses a budget plan that would have raised taxes on the wealthy and cut spending programs that benefit low- and middle-income taxpayers.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, the article references American economic inequality by discussing the impact of unemployment on different groups of people, such as workers idled due to permanent plant closings, low-skilled workers, and teenagers and women with little work experience.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, the article does not reference American economic inequality. It discusses tax cuts and their potential impact on businesses and individuals, but it does not specifically address issues of income or wealth disparity.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, the article references American economic inequality by discussing tax cuts and their potential impact on different income groups, as well as the political motivations behind them.",1
