,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on the federal budget deficit, interest rates, and inflation, without mentioning specific economic groups or disparities between them.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes, the article references American economic inequality by mentioning ""gaps in the economy's beneficence"" and noting that ""large pockets of poverty will continue to dot urban ghettos"", indicating a disparity between those who are benefiting from the economy and those who are not.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, the article references American economic inequality when George Soros mentions that economic and social divisions in the US will deepen, sympathizes with the Occupy movement's articulation of widespread disillusionment with capitalism, and notes that people have reason to be frustrated and angry at the cost of rescuing the banking system, a cost largely borne by taxpayers rather than shareholders or bondholders.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, the article does not reference American economic inequality because it focuses on career development and skills required for public sector jobs, without mentioning income disparities or economic class differences.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, the article does not explicitly reference American economic inequality, but rather focuses on the national debt, tax increases, and leadership issues related to economic policy.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Yes, the article references American economic inequality when a participant mentions that an increase in demand for high-tech, finance, and top management executives, but a decrease in mid-level jobs, could result in a more polarized rich-vs.-poor society.",1
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, the article references American economic inequality by mentioning that the burden of the deficit-reduction plan would fall disproportionately on low- and middle-income taxpayers, while the wealthy would be relatively unaffected.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, the article references American economic inequality by highlighting the uneven impact of unemployment on different regions, industries, and groups of workers, such as those in the industrial Northeast and upper Midwest being hit harder than others.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on tax policies and their potential impact on businesses and the economy rather than discussing disparities between different socioeconomic groups.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, the article references American economic inequality by discussing a proposed tax cut that would benefit middle-class individuals and families, while being paid for by raising taxes on wealthy individuals with incomes over $85,000.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"No, because the article does not mention income disparities, wealth gaps, or other indicators of economic inequality within America.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"No, the article does not explicitly reference American economic inequality; it focuses on the benefits of working beyond traditional retirement age, citing examples of individuals who have found new purpose and fulfillment in their later years.",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes, the article references American economic inequality by highlighting the struggles of Milwaukee, a city with 30% of the state's poverty despite having only 13% of the population, and how federal budget cuts will disproportionately affect its low-income residents.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on tax cuts and their potential impact on the economy and politics, without discussing disparities between different socioeconomic groups.",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No, the article does not explicitly reference American economic inequality, as it focuses on broader economic trends and predictions for the US economy without specifically discussing disparities between different income groups or classes.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"Yes, the article references American economic inequality by mentioning the potential impact of tax increases on different income groups, specifically the middle class, and how politicians are using this issue to appeal to voters.",1
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No, the article does not reference American economic inequality, as it focuses on the debate over a balanced-budget amendment and its potential impact on government spending and taxation, without mentioning specific economic groups or disparities.",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"Yes, the article references American economic inequality by highlighting how lawmakers insert provisions into legislation that benefit specific industries and campaign contributors, often at the expense of the general public and the Treasury.",1
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Yes, the article references American economic inequality by highlighting the lavish perks and compensation packages of top executives, which contrasts with the financial struggles of ordinary Americans and contributes to the widening wealth gap.",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"No, the article does not reference American economic inequality because it focuses on the federal budget deficit and tax negotiations between the president and Congress without mentioning disparities in income, wealth, or economic opportunities among different groups of Americans.",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"No, the article does not explicitly reference American economic inequality, instead focusing on tax policy changes and their potential impact on investment and the economy.",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"No, the article does not reference American economic inequality because it focuses on an individual's personal finance story and strategies for becoming a millionaire, without mentioning broader economic disparities or class differences.",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"Yes, the article references American economic inequality by mentioning welfare recipients and absent dads who are not paying child support, implying a disparity in financial stability between different groups of people.",1
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"No, the article does not explicitly reference American economic inequality, it primarily focuses on the overall state of the economy and its potential impact on the presidential election.",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on a tax bill and its potential impact on federal deficits, rather than discussing disparities in income or wealth among different groups of Americans.",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"No, the article does not explicitly reference American economic inequality, as it focuses on a specific workplace regulation and its potential impact on businesses and workers, without discussing broader issues of income or wealth disparities.",0
26,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"No, the article does not reference American economic inequality because it focuses on the country's resilience and stability in the face of violent events, without mentioning issues related to wealth distribution or socioeconomic disparities.",0
27,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Yes, the article references American economic inequality by mentioning a ""hollowed-out middle class"" and 10 percent unemployment, implying that certain segments of the population are struggling economically.",1
28,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"Yes, the article references American economic inequality by mentioning the struggle to find money for rearming America amidst an economic crisis with a budget ""loaded with entitlement programs"" that are triggered by bad economic conditions, implying a disparity in resource allocation.",1
29,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on the contrast between the real economy and the financial economy, discussing issues such as subprime mortgages, credit markets, and corporate debt without mentioning specific social classes or income disparities.",0
30,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"Yes, the article references American economic inequality by stating that growing income inequality is the cause of Social Security's long-term financing problem, specifically highlighting the widening gap between high-income individuals' salaries and stagnant wages for most Americans.",1
31,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"No, the article does not explicitly reference American economic inequality, as it focuses on a proposed gas tax increase and its potential impact on individual drivers' costs, without discussing how the policy might affect different socioeconomic groups disproportionately.",0
32,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"Yes, the article references American economic inequality by discussing policies that affect different income groups, such as tax cuts for families making more than $250,000 and assistance for homeowners facing default.",1
33,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"Yes, the article references American economic inequality by highlighting the differences in retirement prospects and spending habits between current retirees and baby boomers, implying that future retirees may not be able to maintain their pre-retirement standard of living.",1
34,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,"No, the article does not reference American economic inequality because it focuses on the overall strength of the economy and the recovery from a recession, without mentioning specific groups or disparities in income or wealth.",0
35,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,"Yes, the article references American economic inequality by mentioning that the tax cut benefits will be limited to a maximum of $720 on a joint tax return, which would ""hit squarely at our great middle-income class"", implying that different income groups will be affected differently by the policy.",1
36,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,"Yes, the article references American economic inequality by discussing how the proposed tax overhaul would affect different groups, such as families shifting income, upper-income parents, students, ministers, workers, and investors, implying that these groups have varying levels of wealth and income.",1
37,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,"Yes, the article references American economic inequality by mentioning that Ross Perot's deficit plan aims to protect government programs for the ""truly needy"" and stimulate economic growth, implying a recognition of existing economic disparities.",1
38,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,"No, the article does not reference American economic inequality because it focuses on the Bush administration's economic philosophy and strategies for boosting productivity and investment, without mentioning disparities in income, wealth, or access to resources among different groups of Americans.",0
39,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,"No, the article does not explicitly reference American economic inequality, as it only reports on changes in jobless rates across various cities without comparing or discussing the economic circumstances of different groups or classes.",0
40,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on the overall state of the US economy, consumer spending, and business confidence without mentioning specific disparities between different socioeconomic groups.",0
