,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article is not directly related to American economic inequality, as it primarily discusses the federal budget deficit, interest rates, and inflation, without specifically addressing income or wealth disparities among different groups of Americans.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"No, because while the article mentions some economic issues such as poverty and unemployment, it primarily focuses on general economic conditions and trends in the US for the year 1985, without specifically addressing income or wealth disparities among Americans.",0
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because while the article discusses global economic issues, it specifically mentions economic and social divisions in the US, sympathizes with the Occupy movement, and quotes George Soros discussing the need for the rich to be taxed more in America.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, because the article focuses on career development and skills required for public sector jobs, without mentioning income inequality or economic disparities.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, the article is not directly related to American economic inequality, but rather focuses on politics and taxation policies, specifically discussing the potential for tax increases as a means of addressing budget deficits.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"No, because while the article touches on changes in the job market and potential impacts on certain groups of workers, it does not specifically address issues of income or wealth inequality in America.",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, because the article discusses a budget plan that would affect various income groups differently, with some provisions criticized for unfairly burdening low- and middle-income taxpayers while benefiting the wealthy.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Yes, because while the article primarily discusses unemployment rates and recession, it also touches on issues of income inequality by highlighting how certain groups, such as low-skilled workers, teenagers, and women with little work experience, are disproportionately affected by joblessness and will have difficulty finding employment.",1
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, the article is primarily focused on tax policy and its potential impact on the economy, rather than specifically addressing issues of income or wealth inequality in America.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, because it discusses a proposed tax-cut bill that would benefit certain groups, such as middle-class families and first-time home buyers, while increasing taxes on high-income individuals, which could potentially impact income inequality.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"No, the article is not directly related to American economic inequality as it primarily focuses on career guidance and job market trends, without discussing income disparities or wealth distribution issues.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Yes, because it discusses how older workers are choosing to continue working beyond traditional retirement age due to financial necessity, which is a symptom of income inequality and lack of retirement security for many Americans.",1
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes, because it discusses how federal budget cuts will disproportionately affect low-income residents of Milwaukee, exacerbating existing poverty and economic disparities in the city.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No, the article primarily discusses tax cuts at the state and federal levels, their potential impact on the economy, and politicians' motivations for implementing them, without specifically addressing issues of income or wealth inequality.",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No, the article discusses general economic conditions and trends in the US economy, but does not specifically address issues of income or wealth inequality.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"No, the article is primarily about a tax debate between presidential candidates Ronald Reagan and Walter Mondale, discussing potential tax increases and their impact on the economy, but not specifically addressing income or wealth inequality.",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No, the article is not directly related to American economic inequality, as it primarily discusses a proposed constitutional amendment to balance the federal budget and its potential implications for government spending and taxation, without specifically addressing issues of income or wealth distribution.",0
