,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"No, the article does not explicitly reference American economic inequality, it focuses on the federal budget deficit, interest rates, inflation, and government spending, without mentioning income or wealth disparities among Americans.",0
1,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Yes, the article mentions that ""large pockets of poverty will continue to dot urban ghettos"" and notes that despite overall economic growth, there are still gaps in the economy's benefits, including destitute individuals and struggling farmers.",1
2,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Yes, because the article mentions that George Soros sympathizes with the Occupy movement, which articulates a widespread disillusionment with capitalism and highlights issues of unemployment and economic divisions in the US.",1
3,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"No, because the article focuses on career development and skills required for public sector jobs, without mentioning income disparities or economic inequality in the US.",0
4,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"No, the article does not explicitly reference American economic inequality, it focuses on politics, taxation, and leadership without mentioning income or wealth disparities.",0
5,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"No, because while the article discusses changes in the job market and technological advancements, it does not explicitly mention income or wealth disparities within the United States.",0
6,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Yes, the article references American economic inequality by mentioning that the burden of the deficit-reduction plan would fall disproportionately on low- and middle-income taxpayers, with some critics arguing that it fails to distribute the burden equitably and unfairly targets certain groups, such as Medicare recipients.",1
7,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"No, the article does not explicitly reference American economic inequality, it primarily focuses on unemployment rates and the job market, discussing trends and forecasts without mentioning income or wealth disparities.",0
8,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"No, the article does not explicitly reference American economic inequality, instead focusing on tax cuts, recession, and economic growth.",0
9,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Yes, the article references American economic inequality by discussing a proposed tax cut that would benefit middle-class individuals and be paid for by raising taxes on high-income earners, indicating a consideration of income disparities.",1
10,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"No, the article does not reference American economic inequality as it appears to be a career guide discussing various professions and their characteristics, without any mention of income distribution or wealth disparities within the United States.",0
11,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"No, because the article primarily focuses on retirement trends, older workers staying employed, and finding meaning in later life, without explicitly discussing income disparities or wealth distribution within the US population.",0
12,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Yes, because it mentions that Milwaukee has ""30 per cent of the poverty"" despite having only ""13 per cent of the state's population"", indicating a disproportionate concentration of poverty in the city.",1
13,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"No, the article does not explicitly reference American economic inequality, it primarily focuses on tax cuts and their potential impact on the economy and politics.",0
14,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"No, the article does not explicitly reference American economic inequality, it focuses on the broader trends and challenges facing the US economy after the recession.",0
15,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"No, the article does not explicitly reference American economic inequality, it primarily focuses on a tax debate between presidential candidates Ronald Reagan and Walter Mondale during the 1984 campaign.",0
16,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"No, the article does not reference American economic inequality, as it focuses on the debate over a balanced-budget amendment and its potential impact on government spending and deficits, without mentioning income or wealth disparities.",0
17,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"No, the article does not explicitly reference American economic inequality, it focuses on how politicians insert tax breaks that benefit specific industries and campaign contributors, but does not discuss broader economic disparities or inequalities.",0
18,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Yes, the article references American economic inequality by highlighting the lavish perks and compensation packages of top executives, which contrasts with the reality of many ordinary Americans and contributes to the widening wealth gap.",1
19,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"No, the article does not reference American economic inequality, as it focuses on the federal budget deficit and tax negotiations without mentioning income or wealth disparities among Americans.",0
20,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"No, because the article discusses tax provisions and their potential impact on investment and the economy, without mentioning income or wealth disparities among Americans.",0
21,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"No, because the article focuses on an individual's personal story of becoming a millionaire through smart investments and frugal living, without mentioning broader trends or issues related to economic inequality in America.",0
22,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"No, because while the article discusses government programs and policies related to welfare and taxation, it does not explicitly mention income or wealth disparities within the US population.",0
23,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"No, because while the article discusses the economy and potential recession, it does not specifically mention income or wealth disparities among Americans.",0
24,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"No, the article does not reference American economic inequality, as it primarily focuses on a tax bill and budget deficits without mentioning income disparities or wealth distribution among Americans.",0
25,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"No, because the article discusses a specific workplace regulation and its potential costs to businesses, without mentioning broader issues of income or wealth distribution among Americans.",0
26,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"No, the article does not mention American economic inequality, as it focuses on the country's resilience and stability in the face of traumatic events, without referencing income or wealth disparities.",0
27,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Yes, because it mentions a ""hollowed-out middle class"" as one of the country's current economic challenges.",1
28,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"Yes, the article mentions the economic crisis, a potential $100 billion deficit, and entitlement programs, but does not specifically address income or wealth inequality among Americans.",1
29,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"No, the article does not reference American economic inequality, as it focuses on the financial economy and the potential consequences of a credit crisis, without mentioning income or wealth disparities among Americans.",0
30,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"Yes, because it mentions ""growing income inequality"" as the cause of Social Security's long-term financing problem, specifically highlighting that high-income individuals' salaries have risen sharply while wages for most Americans have stagnated.",1
31,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"No, the article does not reference American economic inequality, as it focuses on a proposed gas tax increase and its potential impact on individual drivers' costs, without discussing broader issues of income or wealth distribution.",0
32,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"Yes, because it discusses policies related to taxation, unemployment insurance, and mortgage help that could impact different income groups, such as families making more than $250,000 and those facing foreclosure.",1
33,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"No, the article does not explicitly reference American economic inequality, as it focuses on retirement planning and financial preparedness for individuals and couples without discussing broader issues of income or wealth disparities.",0
34,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,"No, the article does not reference American economic inequality, as it focuses on the overall strength of the US economy, business growth, and employment rates without mentioning income disparities or wealth distribution among Americans.",0
35,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,"No, the article does not reference American economic inequality because it focuses on the impact of a tax cut on consumer spending and the overall economy, without discussing how the benefits of the tax cut are distributed across different income groups or socioeconomic classes.",0
36,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,"No, the article does not explicitly reference American economic inequality, as it primarily focuses on explaining the details of a proposed tax overhaul plan without discussing its potential impact on income or wealth disparities.",0
37,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,"Yes, the article references American economic inequality by discussing Ross Perot's deficit plan, which aims to balance the federal budget through a combination of tax increases and spending cuts that would affect various income groups differently.",1
38,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,"No, the article does not reference American economic inequality, as it focuses on the Bush administration's economic philosophy and strategies for boosting productivity and growth without mentioning income or wealth disparities within the US population.",0
39,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,"Yes, because it discusses changes in jobless rates across various cities in the US, which can be an indicator of economic conditions and potentially related to broader issues of income inequality.",1
40,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,"No, the article does not explicitly mention American economic inequality, it primarily focuses on the overall state of the US economy, consumer spending, and business confidence without referencing income or wealth disparities.",0
