,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"Relevant: The article discusses how the personal exemption amount in the US tax code has not kept pace with inflation, potentially exacerbating income inequality by disproportionately affecting low- and middle-income individuals who struggle to make ends meet.",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"Relevant: The article discusses budget cuts to social welfare programs, which could disproportionately affect low-income individuals, and tax policies that may exacerbate income inequality, making it relevant to issues of American economic inequality.",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Relevant, because although the article primarily focuses on the overall positive outlook of the US economy in 1985, it also mentions ""gaps in the economy's beneficence"" such as poverty in urban ghettos and economic stress for farmers, indicating that not all Americans will benefit equally from the growing economy.",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"Irrelevant, because the article primarily discusses the Oklahoma City bombing and the author's criticism of liberals' attempts to blame ""right-wing extremists"" for the tragedy, without mentioning any issues related to income inequality or economic conditions.",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"Irrelevant, because the article primarily focuses on a personal anecdote about dealing with the IRS and does not discuss issues related to income inequality or wealth disparities in America.",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"Irrelevant, because the article primarily focuses on a group of ""hacktivists"" planning to disrupt the Republican National Convention electronically, without mentioning any issues related to income inequality or economic conditions.",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Relevant: The article discusses George Soros's views on the global economic crisis, including his predictions of riots and social unrest in the US due to economic divisions and income inequality, making it relevant to American economic inequality.",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"Irrelevant, because the article focuses on career development and skills required for public sector jobs, without discussing income inequality or economic disparities in the United States.",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"Irrelevant, because the article primarily discusses immigration and xenophobia in Spain, with no direct connection to income inequality or economic conditions in America.",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"Irrelevant, because while the article mentions the economy as a potential issue in the upcoming elections, it primarily focuses on the debate over war with Iraq and its impact on the political landscape, without discussing income inequality or related economic issues.",0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"Irrelevant, because the article focuses on a civil rights issue related to the deaf community and does not mention income, wealth, or economic conditions.",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Relevant: The article discusses tax increases as a means to address budget deficits and mentions fairness as an issue, which relates to income inequality and wealth distribution.",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Relevant: The article touches on issues related to job displacement, changes in the workforce, and potential widening of the income gap between high-skilled and low-skilled workers, all of which are relevant to discussions about American economic inequality.",1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Relevant: The article discusses a budget plan that aims to reduce the national deficit by $500 billion over five years through tax increases and spending cuts, which has implications for income inequality as it affects different socioeconomic groups disproportionately.",1
14,10 Questions for Andrew Stern,2005,Aug,Time,5,6.67,irrelevant,15,"Relevant, because the article discusses labor unions, workers' rights, and the impact of globalization on jobs, all of which are related to income inequality and economic conditions in America.",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"Irrelevant, because the article is an interview with William F. Buckley Jr. that focuses on his views on politics, conservatism, and culture, without any mention of economic issues or income inequality.",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Relevant: The article discusses high unemployment rates across different demographics and industries, which can exacerbate income inequality, making it a relevant topic to American economic inequality.",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"Irrelevant, because the article discusses historical and current events related to democracy and revolution in Europe and North Africa/Middle East, without mentioning income inequality or economic conditions specific to America.",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Relevant: The article discusses a proposed tax cut that would disproportionately benefit businesses and the wealthy, potentially exacerbating income inequality, while also highlighting the struggles of ordinary Americans during an economic recession.",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"Irrelevant, because the article appears to be a collection of quotes from various individuals on different topics, with no apparent focus on American economic inequality.",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"Irrelevant, because although the article mentions wealth and winning large sums of money through lotteries, it does not specifically address issues related to income inequality or economic disparities in America.",0
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Relevant, because the article discusses a proposed tax-cut bill that would affect different income groups, including raising the top rate for individuals with taxable income over $85,000 and couples with incomes over $145,000, which relates to issues of economic inequality.",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"Relevant, because it discusses issues related to income inequality, such as changes in living standards, retirement savings, and government benefits that affect different age groups and socioeconomic classes.",1
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"Irrelevant: The article discusses various careers and job opportunities, but does not address issues related to income inequality or economic disparities in America.",0
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Relevant: The article discusses how older workers are choosing to continue working beyond traditional retirement age, which has implications for income inequality as it affects the distribution of wealth and resources among different age groups.",1
25,7. Working may add Meaning to your later life,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,26,"Irrelevant, because the article focuses on the motivations and benefits of older workers continuing to work beyond traditional retirement age, without discussing income disparities or economic inequality.",0
26,A Can-Do Nation,2007,Apr,Time,5,6.67,irrelevant,27,"Relevant: The article mentions ""growing income inequality"" as one of the problems facing America and suggests that a new politics based on an ""ethic of connectedness"" could help address this issue by promoting collective action to achieve economic security for all citizens.",1
27,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,"Relevant: The article discusses how federal budget cuts proposed by President Reagan will disproportionately affect Milwaukee's low-income residents and exacerbate existing poverty issues, highlighting the potential for increased economic inequality.",1
28,A Family Divided,2008,Oct,Time,5,6.67,irrelevant,29,"Irrelevant, because the article primarily focuses on a personal family dynamic and differing political views between a father and daughter, without discussing any specific issues related to income inequality or economic conditions.",0
29,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,"Relevant: The article discusses tax cuts and their potential impact on the economy and government revenue, which can have implications for income inequality as different tax policies can affect various socioeconomic groups differently.",1
30,A Fondness for Gray Hair,2004,Mar,U.S. News & World Report,5,6.67,irrelevant,31,"Relevant: The article discusses how older Americans are being forced to work longer due to financial constraints, such as reduced pensions and healthcare benefits, highlighting a specific aspect of economic insecurity and inequality affecting this demographic group.",1
31,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,"Relevant: Although the article does not directly focus on income inequality, it discusses changes in consumer spending habits, household debt, and potential tax increases that could have implications for economic disparities among different segments of the US population.",1
32,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,"Relevant: The article discusses tax policies and their potential impact on the middle class, which is a key aspect of American economic inequality.",1
33,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,"Relevant, because although the article does not directly address income inequality, it discusses government spending, budget deficits, and potential tax increases, which can have implications for economic conditions and wealth distribution in the United States.",1
34,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,"Relevant: The article highlights how politicians use tax breaks and loopholes to benefit specific industries and companies that contribute to their campaigns, potentially widening the wealth gap between those with influence and those without.",1
35,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,"Relevant: The article highlights excessive CEO compensation and perks, which contributes to income inequality by widening the gap between the wealthy elite and the general population.",1
36,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,"Relevant: The article discusses the US budget deficit and potential tax increases, which can have implications for income inequality as changes in taxation policies can affect different socioeconomic groups disproportionately.",1
37,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,"Relevant: The article discusses tax provisions that may benefit certain groups, such as stockbrokers and large corporations, potentially widening the wealth gap between them and other Americans.",1
38,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,"Irrelevant, because while the article mentions wealth and financial success, it focuses on an individual's unusual strategies for achieving wealth rather than addressing broader issues of income inequality or economic disparities in America.",0
39,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,"Relevant: The article discusses government programs aimed at addressing welfare and child support issues, which are closely related to income inequality, particularly among low-income families and single parents.",1
40,A Monster on the Loose,2005,Apr,Newsweek,5,6.67,irrelevant,41,"Irrelevant, because the article primarily discusses the economic and diplomatic tensions between China and Japan, with no mention of American economic conditions or income inequality within the United States.",0
41,A Nazi-era bill finally comes due,1999,Feb,Newsweek,5,6.67,irrelevant,42,"Irrelevant, because although the article mentions some US companies (GM, Ford) and a potential boycott in the US, it primarily focuses on lawsuits against European companies for their role in World War II-era slave labor camps, with no direct connection to American economic inequality.",0
42,A New French Revolution,2007,Dec,Newsweek,5,6.67,irrelevant,43,"Irrelevant, because the article primarily focuses on the French economy and President Nicolas Sarkozy's efforts to reform it, with no direct connection to issues of income inequality in the United States.",0
43,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,"Relevant: The article touches on the theme of economic conditions affecting working Americans and mentions a Democratic campaign theme that the Bush boom has been a bust for working Americans, implying concerns about income inequality.",1
44,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,"Relevant: The article discusses tax increases and budget decisions that may impact income distribution and wealth allocation in the United States, which are directly related to issues of economic inequality.",1
45,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,"Relevant: The article discusses the potential impact of ergonomic regulations on businesses, particularly small ones, which could affect their bottom line and potentially lead to job losses or reduced wages, exacerbating income inequality.",1
46,A Political Prescription,2004,Feb,U.S. News & World Report,5,10.0,irrelevant,47,"Relevant: The article discusses the Medicare reform bill and its potential impact on seniors' access to affordable healthcare, which is a key aspect of economic inequality in the United States, particularly for low-income and vulnerable populations.",1
47,A Religious-Right Revival,2008,Sep,Newsweek,5,6.67,irrelevant,48,"Irrelevant, because the article primarily discusses the resurgence of the religious right in American politics, specifically through the candidacy of Sarah Palin, without mentioning any issues related to income inequality or economic conditions.",0
48,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,"Irrelevant, because the article discusses America's resilience and stability in the face of traumatic events, but does not mention income inequality, wealth disparities, or economic conditions.",0
49,A Reward for Good Behavior,2007,Oct,Newsweek,5,10.0,irrelevant,50,"Irrelevant, because the article primarily focuses on income inequality and governance issues specific to Africa, with no direct connection to American economic inequality.",0
50,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,"Relevant, because the article discusses the decline of the middle class and the need for innovation and education to compete economically, which are related to issues of income inequality.",1
51,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,"Relevant: The article discusses the economic crisis facing the US at the time, including a potential $100 billion deficit, high prime rates, and entitlement programs, which are all related to issues of income inequality and economic conditions.",1
52,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,"Relevant: Although the article does not directly address income inequality, it discusses the potential consequences of a financial crisis on the broader economy, which could have implications for wealth distribution and exacerbate existing economic disparities.",1
53,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,"Relevant: The article discusses how growing income inequality is affecting Social Security's long-term financing problem, specifically highlighting that the wealthy are not paying their fair share of taxes, exacerbating the issue.",1
54,A Swoosh under siege,1999,Apr,U.S. News & World Report,5,6.67,irrelevant,55,"Relevant: The article discusses labor conditions and wages in Nike's foreign factories, which is related to broader issues of income inequality and exploitation of workers in the global economy.",1
55,A Tax Band-Aid For J&J's Big Deal,2006,Aug,Newsweek,5,6.67,irrelevant,56,"Relevant: The article discusses a tax loophole that benefits a large corporation, Johnson & Johnson, highlighting how the tax system can favor wealthy corporations over individual taxpayers, potentially exacerbating income inequality.",1
56,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,"Relevant: The article discusses a proposed gas tax increase and its potential impact on Americans' finances, which is related to economic inequality as it affects people's ability to afford basic necessities like transportation.",1
57,A Tricker Tax Season,2007,Mar,U.S. News & World Report,5,6.67,irrelevant,58,"Relevant: The article discusses various tax laws and regulations that affect individuals' financial situations, which can have implications for income inequality in the United States, particularly with regards to the Alternative Minimum Tax (AMT) affecting middle-class families.",1
58,A U.N. 'plot' on U.S. rivers,1997,Oct,U.S. News & World Report,5,6.67,irrelevant,59,"Irrelevant, because the article primarily focuses on a conspiracy theory surrounding a conservation initiative and does not discuss issues related to income inequality, wealth distribution, or economic conditions in the United States.",0
59,A Vigorous Voice from The Right--at Berkeley!,2003,Feb,Time,5,6.67,irrelevant,60,"Irrelevant, because the article focuses on a conservative magazine at UC Berkeley and its impact on campus politics, without mentioning any issues related to income inequality or economic conditions.",0
60,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,"Relevant, because the article discusses the presidential candidates' stances on issues such as taxation, unemployment insurance, and mortgage assistance, which have implications for income distribution and economic well-being among different segments of the population.",1
61,A battle over the cross,1984,Mar,Newsweek,5,6.67,irrelevant,62,"Irrelevant, because the article discusses a protest over the removal of crucifixes from classrooms in Poland and does not mention any issues related to income inequality or economic conditions in America.",0
62,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,"Relevant: The article discusses retirement prospects of average American workers, highlighting potential financial struggles and limited spending power, which relates to broader issues of income inequality and economic insecurity in the United States.",1
63,"A building, a tragedy",1995,Feb,U.S. News & World Report,5,10.0,irrelevant,64,"Irrelevant, because while the article mentions a large payment to a construction company and a settlement with OSHA, it does not discuss issues related to income inequality, changes in income or wealth, or general economic conditions that affect different socioeconomic groups.",0
