,title,year,month,journal,code,weight,code_label,id,content,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,"Relevant: The article discusses how the personal exemption amount in the US income tax code has not kept pace with inflation, resulting in a lower standard of living for individuals and families, which is related to broader conditions of economic inequality.",1
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,"Relevant: The article discusses budget deficits, spending cuts, and tax increases, which have implications for income inequality and economic conditions in the US, particularly with regards to social welfare benefits and entitlements.",1
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,"Relevant, because although the article primarily focuses on the overall positive outlook for Americans in 1985, it also mentions ""gaps in the economy's beneficence"" such as poverty, destitution, and economic stress among farmers, which relate to economic inequality.",1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,"Irrelevant, because the article discusses the Oklahoma City bombing and the author's criticism of liberals' attempts to blame ""right-wing extremists"" for the tragedy, without mentioning any issues related to economic inequality.",0
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,"Irrelevant, because the article primarily focuses on a personal anecdote about dealing with the IRS and does not discuss broader issues related to income inequality or economic conditions in the US.",0
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,"Irrelevant, because the article discusses a group of ""hacktivists"" planning to disrupt the Republican National Convention electronically, with no mention of income inequality, wealth disparities, or broader economic conditions in the US.",0
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,"Relevant: The article discusses George Soros's views on the global economic crisis, including his predictions of riots on the streets of American cities due to economic and social divisions, which is related to American economic inequality.",1
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,"Irrelevant, because the article discusses skills and majors for public sector jobs and does not mention income inequality, wealth disparities, or broader economic conditions in the US.",0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,"Irrelevant, because the article primarily discusses xenophobia and racism in Spain, with no mention of income inequality or economic conditions specific to the United States.",0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,"Irrelevant, because although the article mentions the economy and domestic issues, it primarily focuses on the political debate surrounding war with Iraq and its impact on the upcoming elections, without discussing income inequality or related topics.",0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,"Irrelevant, because the article focuses on a civil rights issue related to deaf people and does not mention income inequality, wealth disparities, or broader economic conditions in the US.",0
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,"Relevant: The article mentions general income-tax increases and fairness as an issue, which relates to broader economic conditions and potentially touches on issues of economic inequality.",1
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,"Irrelevant, because while the article discusses changes in the job market and technological advancements, it does not specifically address issues of income inequality or wealth disparities in the United States.",0
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,"Relevant: The article discusses a budget plan that aims to reduce the deficit by $500 billion over five years through tax increases and spending cuts, which would disproportionately affect low- and middle-income taxpayers, highlighting issues of economic inequality.",1
14,10 Questions for Andrew Stern,2005,Aug,Time,5,6.67,irrelevant,15,"Relevant, because the article discusses labor unions, workers' rights, and the impact of globalization on jobs, which are all related to economic inequality in the United States.",1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,"Irrelevant, because the article is an interview with William F. Buckley Jr. about his views on politics, culture, and conservatism, without any mention of income inequality, wealth distribution, or economic conditions in the United States.",0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,"Relevant: The article discusses unemployment rates, joblessness, and the impact of recession on various industries and regions, which are all related to broader economic conditions and can be linked to income inequality in the US.",1
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,"Irrelevant, because the article discusses historical and current events in Europe, North Africa, and the Middle East, without mentioning the United States or American economic conditions.",0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,"Relevant: The article discusses a potential tax cut in 1981, with a focus on its impact on businesses and individuals, which could have implications for income inequality in the US.",1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,"Irrelevant, because the article appears to be a collection of quotes from various individuals on different topics, with no apparent focus on American economic inequality.",0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,"Irrelevant, because although the article mentions a few instances of individuals winning large sums of money in state lotteries, it does not discuss broader trends or issues related to economic inequality in America.",0
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,"Relevant, because the article discusses a proposed tax-cut bill that would affect different income groups, including raising the top rate for individuals with taxable income over $85,000 and couples with incomes over $145,000, which relates to economic inequality.",1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,"Relevant, because it discusses issues related to income inequality, specifically the unsustainable growth of Medicare and Social Security costs, which will disproportionately affect younger generations and those with lower incomes.",1
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,"Irrelevant, because the article discusses various careers and job markets without mentioning income inequality or economic disparities in the United States.",0
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,"Irrelevant: The article discusses retirement trends, reasons for working past traditional retirement age, and personal fulfillment, but does not mention income inequality, wealth disparities, or any other aspect of economic inequality in America.",0
25,7. Working may add Meaning to your later life,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,26,"Irrelevant, because the article focuses on the personal fulfillment and meaning that older workers can find through continued employment, without discussing broader economic conditions or income inequality in the US.",0
