sample_set,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score
10-1,0.6240600870827562,0.631004070958992,0.6273919276204589
10-2,0.5872900530018292,0.588011892325902,0.5490831461579555
10-3,0.642294141341755,0.8170395079314915,0.7034790842403554
10-4,0.666517078695678,0.7248985306656878,0.688436358151112
10-5,0.6189968447824383,0.699878352159565,0.6512174901853041
100-1,0.5830638238664647,0.5975802933756663,0.5430158802714298
100-2,0.6448445529273031,0.784866335837472,0.6943426692098216
100-3,0.6448523556856423,0.9134514957167783,0.7373550009270662
100-4,0.6289015803749642,0.9924357237315916,0.7674447374114239
100-5,0.6494115816884273,0.9348875294823858,0.7460914888456548
600-1,0.6289653550251368,0.9949499292046183,0.7686100916079255
600-2,0.627294493216281,1.0,0.7709661598822952
600-3,0.627294493216281,1.0,0.7709661598822952
600-4,0.6321477195371,0.9937465653483921,0.768109935211204
600-5,0.6362988650435877,0.9695810929947479,0.757766266850898
1000-1,0.627294493216281,1.0,0.7709661598822952
1000-2,0.6282684680369097,0.9987320728432314,0.7703697781551472
1000-3,0.5819623743717453,0.569525862632964,0.547052453547062
1000-4,0.6440902004195147,0.8565237347817982,0.7173371985523028
1000-5,0.6537162145382902,0.9303379611998421,0.7453645571097353
