,title,year,month,journal,code,weight,code_label,id,gen_code
0,"$1,000 is chicken feed",1981,Jun,Newsweek,5,6.67,irrelevant,1,0
1,$100 Billion Deficit Is Too Much,1982,Feb,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),2,0
2,'85 outlook: year of change,1984,Dec,U.S. News & World Report,1,6.67,"relinequality, explicit",3,1
3,'Blame the bombers--only',1995,May,Newsweek,5,6.67,irrelevant,4,1
4,'Dear IRS . . . ',1991,Apr,Time,5,6.67,irrelevant,5,1
5,'Hacktivists' Log On,2004,Aug,Newsweek,5,6.67,irrelevant,6,1
6,'I am not here to cheer you up. The situation is about as serious and difficult as I've experienced in my career'.,2012,Jan,Newsweek,1,6.67,"relinequality, explicit",7,0
7,'Mission Critical' Skills and Majors,2010,Nov,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),8,0
8,'Moors out of here',2000,Feb,U.S. News & World Report,5,6.67,irrelevant,9,0
9,'Take a deep breath',2002,Oct,U.S. News & World Report,5,6.67,irrelevant,10,0
10,'This is the Selma of the deaf',1988,Mar,Time,5,6.67,irrelevant,11,1
11,'Vindicated' -- Not Gloating,1987,Nov,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),12,0
12,'We're under attack': online forum,2002,Apr,Newsweek,1,6.67,"relinequality, explicit",13,1
13,"1,000 Points of Spite",1990,Oct,Time,1,10.0,"relinequality, explicit",14,0
14,10 Questions for Andrew Stern,2005,Aug,Time,5,6.67,irrelevant,15,1
15,10 Questions for William F. Buckley,2004,Apr,Time,5,6.67,irrelevant,16,0
16,"11 million jobless, and worst is yet to come",1982,Oct,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",17,0
17,1848 vs.2011.,2011,Mar,Time,5,6.67,irrelevant,18,0
18,1981 tax cut for business?,1980,Jul,Newsweek,2,6.67,"relinequality, implicit",19,1
19,1983: images,1983,Dec,Time,5,6.67,irrelevant,20,0
20,1984 scrapbook,1984,Dec,Newsweek,5,6.67,irrelevant,21,0
21,1992 tax guide,1992,Mar,U.S. News & World Report v. 112 (March 9 1992) p. 58-60+,1,6.67,"relinequality, explicit",22,1
22,20 hot job tracks,1996,Oct,U.S. News & World Report,5,6.67,irrelevant,23,0
23,2007 Career Guide,2007,Mar,U.S. News & World Report,2,10.0,"relinequality, implicit",24,0
24,7 Reasons Not to Retire,2006,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),25,1
25,7. Working may add Meaning to your later life,2006,Jun,U.S. News & World Report,5,6.67,irrelevant,26,1
26,A Can-Do Nation,2007,Apr,Time,5,6.67,irrelevant,27,0
27,A City Under the Ax,1981,Mar,Newsweek,1,10.0,"relinequality, explicit",28,1
28,A Family Divided,2008,Oct,Time,5,6.67,irrelevant,29,1
29,A Fever for Tax Cuts,1994,Sep,Time,3,10.0,relchanges (income/wages/earnings/etc.),30,0
30,A Fondness for Gray Hair,2004,Mar,U.S. News & World Report,5,6.67,irrelevant,31,1
31,A Fun-Free Recovery,2009,Jun,Time,3,6.67,relchanges (income/wages/earnings/etc.),32,1
32,A Great August Tax Debate,1984,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),33,1
33,A Juggernaut Slows Down,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),34,0
34,A Little Help for Some Friends,1990,Nov,Time,3,10.0,relchanges (income/wages/earnings/etc.),35,1
35,A Little Icing on Top,1999,Apr,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),36,1
36,A Make-Believe Budget Fix,1990,May,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),37,1
37,A Midsummer-Night Tax Gift,1984,Jul,Newsweek,1,10.0,"relinequality, explicit",38,0
38,A Million Reasons to Smile,2008,Apr,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),39,0
39,A Modest Proposal - Public Policies that Perform,1987,Aug,U.S. News & World Report,2,10.0,"relinequality, implicit",40,1
40,A Monster on the Loose,2005,Apr,Newsweek,5,6.67,irrelevant,41,1
41,A Nazi-era bill finally comes due,1999,Feb,Newsweek,5,6.67,irrelevant,42,0
42,A New French Revolution,2007,Dec,Newsweek,5,6.67,irrelevant,43,1
43,A New GOP Achilles Heel,2007,Sep,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),44,1
44,A No-fingerprints Tax Bill,1982,Aug,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),45,0
45,A Pain in the bottom line,2000,Nov,U.S. News & World Report,4,10.0,"releconomy (employment, economy)",46,0
46,A Political Prescription,2004,Feb,U.S. News & World Report,5,10.0,irrelevant,47,0
47,A Religious-Right Revival,2008,Sep,Newsweek,5,6.67,irrelevant,48,0
48,A Resilient Society.,2011,Jan,Newsweek,4,6.67,"releconomy (employment, economy)",49,1
49,A Reward for Good Behavior,2007,Oct,Newsweek,5,10.0,irrelevant,50,0
50,A Script for Sputnik,2011,Jan,Newsweek,2,6.67,"relinequality, implicit",51,0
51,A Sense of Power,1980,Dec,Newsweek,3,10.0,relchanges (income/wages/earnings/etc.),52,1
52,A Sequel to the Subprime Mess?,2007,Dec,Newsweek,3,6.67,relchanges (income/wages/earnings/etc.),53,0
53,A Simpler Social Security Fix,2010,Oct,U.S. News & World Report,1,6.67,"relinequality, explicit",54,1
54,A Swoosh under siege,1999,Apr,U.S. News & World Report,5,6.67,irrelevant,55,1
55,A Tax Band-Aid For J&J's Big Deal,2006,Aug,Newsweek,5,6.67,irrelevant,56,0
56,A Tax Increase You Can Avoid,1993,Jul,Time,3,10.0,relchanges (income/wages/earnings/etc.),57,1
57,A Tricker Tax Season,2007,Mar,U.S. News & World Report,5,6.67,irrelevant,58,0
58,A U.N. 'plot' on U.S. rivers,1997,Oct,U.S. News & World Report,5,6.67,irrelevant,59,0
59,A Vigorous Voice from The Right--at Berkeley!,2003,Feb,Time,5,6.67,irrelevant,60,1
60,A Voter's Gulde to the Economy,2008,Mar,Time,2,6.67,"relinequality, implicit",61,1
61,A battle over the cross,1984,Mar,Newsweek,5,6.67,irrelevant,62,0
62,A bologna-lover's retirement budget,2000,Jun,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),63,1
63,"A building, a tragedy",1995,Feb,U.S. News & World Report,5,10.0,irrelevant,64,0
64,A business boom defies its doubters,1984,Apr,Newsweek,2,6.67,"relinequality, implicit",65,1
65,A buying surge from new 30-billion tax cut,1983,Jun,U.S. News & World Report,1,6.67,"relinequality, explicit",66,1
66,A campus divided by three words,1995,Feb,Newsweek,5,6.67,irrelevant,67,0
67,A chasm of misery,1989,Nov,Time,5,6.67,irrelevant,68,0
68,A closer look at the Treasury's tax plan,1984,Dec,U.S. News & World Report,2,6.67,"relinequality, implicit",69,0
69,A deficit plan that's no joke,1992,Oct,Newsweek,2,10.0,"relinequality, implicit",70,0
70,A different kind of supply-side revolution,1990,Feb,U.S. News & World Report,2,6.67,"relinequality, implicit",71,0
71,A dip in urban joblessness,1983,Aug,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",72,0
72,A distant thunder on the right: conservatives regroup in the age of glasnost,1989,Dec,Newsweek,5,6.67,irrelevant,73,0
73,A double-dip this summer?,2002,Jul,U.S. News & World Report,2,6.67,"relinequality, implicit",74,1
74,A double-edged summer surprise,1992,Mar,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),75,0
75,A fair question,2000,Sep,U.S. News & World Report,1,6.67,"relinequality, explicit",76,0
76,A fight for the soul of the party,1992,Aug,U.S. News & World Report v. 113 (August 31-September 7 1992) p. 58,5,6.67,irrelevant,77,0
77,A gaggle of New Year's guesses,1987,Dec,U.S. News & World Report,4,6.67,"releconomy (employment, economy)",78,0
78,A healthy trend ends,1998,Sep,U.S. News & World Report,5,6.67,irrelevant,79,1
79,A kind word for taxes,1986,Jul,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),80,0
80,A leap of faith--into the abyss perhaps?,2001,Jun,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),81,1
81,A message to conservatives,1983,Mar,U.S. News & World Report,2,6.67,"relinequality, implicit",82,0
82,A most debated issue,1985,Jul,Time,1,6.67,"relinequality, explicit",83,1
83,A nation divided,1999,Oct,U.S. News & World Report,1,1.0,"relinequality, explicit",84,1
84,A new breed of activism,1985,May,Newsweek,5,6.67,irrelevant,85,0
85,A new divide between haves and have-nots?,1995,Spring,Time,1,6.67,"relinequality, explicit",86,1
86,A new-style recession,2002,Apr,U.S. News & World Report v. 132 no. 12 (April 15 2002) p. 30-2,1,6.67,"relinequality, explicit",87,1
87,A pardon overheard,2001,Aug,Newsweek,5,6.67,irrelevant,88,0
88,A paycheck revolt in '96?,1996,Feb,Newsweek,1,1.0,"relinequality, explicit",89,1
89,A plumper nest egg,2002,Mar,U.S. News & World Report,3,10.0,relchanges (income/wages/earnings/etc.),90,1
90,A president and a pardon. A price?,2001,Feb,U.S. News & World Report,5,6.67,irrelevant,91,0
91,A question of confidence,2001,May,U.S. News & World Report,3,6.67,relchanges (income/wages/earnings/etc.),92,0
92,A radical plan for tax reform,1986,May,Newsweek,1,6.67,"relinequality, explicit",93,0
93,A regime on the ropes,1988,Sep,Time,5,6.67,irrelevant,94,0
94,A righteous indignation,1998,May,U.S. News & World Report,5,6.67,irrelevant,95,0
